Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
179.580000,1.00000000e-02,4.659581e+06,1.961218e+06,4.584503e+04,8.250743e-02,2
179.580000,1.00000000e-02,4.659581e+06,1.961218e+06,3.675937e+04,7.050590e-02,2
180.420000,1.00000000e-02,1.739508e+03,2.035232e+04,3.592371e+03,3.965363e-02,2
180.420000,1.00000000e-02,1.739508e+03,2.035232e+04,5.885926e+03,5.056562e-02,2
189.530000,1.00000000e-02,1.231934e+05,4.347179e+05,7.021724e+04,1.535801e-01,2
189.530000,1.00000000e-02,1.231934e+05,4.347179e+05,8.199377e+04,2.433619e-01,2
190.430000,1.00000000e-02,1.194581e+03,2.001983e+04,2.761395e+03,4.285975e-02,4
190.430000,1.00000000e-02,1.194581e+03,2.001983e+04,5.873595e+03,6.010441e-02,4
190.440000,1.00000000e-02,6.923047e+04,2.603781e+05,2.022610e+04,8.417447e-02,2
190.440000,1.00000000e-02,6.923047e+04,2.603781e+05,9.708178e+03,7.852134e-02,2
