Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2422Sap.xlsx
Generated: 13-Jul-2026 08:53:06
Total temperatures: 114

Aggregate summary
Mean selected lambda: 2.64745796E-004
Mean real-part CV: 4.72531040E+003
Mean imag-part CV: 5.03916999E+004
Mean total CV: 5.51170103E+004
Mean absolute residual: 7.23763606E+001
Mean peak count: 2.8860
Max peak count: 4

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
2.260000,1.00000000E-003,4.06150763E+003,4.86944184E+004,5.27559260E+004,7.35206946E+001,2
2.270000,1.00000000E-003,3.94198368E+003,4.88742289E+004,5.28162125E+004,7.34151818E+001,2
2.290000,1.00000000E-003,3.67798727E+003,4.88254625E+004,5.25034498E+004,7.31329127E+001,2
2.310000,1.00000000E-003,3.65894977E+003,4.89181735E+004,5.25771233E+004,7.35279784E+001,2
2.320000,1.00000000E-003,3.48006611E+003,4.90708364E+004,5.25509025E+004,7.35362284E+001,2
2.350000,1.00000000E-003,3.57855835E+003,4.85337531E+004,5.21123115E+004,7.21483091E+001,2
2.390000,1.00000000E-003,3.57715323E+003,4.86706400E+004,5.22477933E+004,7.30719276E+001,2
2.430000,1.00000000E-003,3.98120474E+003,4.89119510E+004,5.28931557E+004,7.35200832E+001,2
2.490000,1.00000000E-003,3.56921429E+003,4.87571966E+004,5.23264109E+004,7.26979545E+001,2
4.630000,3.16227766E-004,4.48033801E+003,4.95884112E+004,5.40687492E+004,7.29490980E+001,2
4.650000,1.00000000E-008,4.75756643E+003,4.94274831E+004,5.41850496E+004,7.33945159E+001,4
4.670000,1.00000000E-008,4.80667087E+003,4.65269687E+004,5.13336395E+004,7.35196993E+001,4
4.680000,3.16227766E-004,3.98756064E+003,4.66502150E+004,5.06377756E+004,7.08888701E+001,2
4.690000,1.00000000E-003,3.72926659E+003,4.65932620E+004,5.03225286E+004,7.08376736E+001,2
4.700000,3.16227766E-004,3.85535418E+003,4.63882565E+004,5.02436107E+004,7.08860761E+001,2
4.710000,3.16227766E-004,4.41584278E+003,4.66144962E+004,5.10303390E+004,7.14694502E+001,2
4.720000,1.00000000E-003,4.02636149E+003,4.67383365E+004,5.07646980E+004,7.14775043E+001,2
4.730000,1.00000000E-008,4.15325740E+003,4.70002763E+004,5.11535337E+004,7.13490441E+001,4
4.740000,3.16227766E-004,4.23972059E+003,4.67005667E+004,5.09402873E+004,7.09941185E+001,2
4.750000,1.00000000E-007,4.16704293E+003,4.61972203E+004,5.03642632E+004,7.12959991E+001,4
4.760000,1.00000000E-003,3.96003485E+003,4.63373938E+004,5.02974287E+004,7.10587157E+001,2
4.790000,1.00000000E-003,3.98392128E+003,4.89487934E+004,5.29327147E+004,7.26368668E+001,2
4.830000,1.00000000E-003,4.18367932E+003,4.88766944E+004,5.30603738E+004,7.24263594E+001,2
4.880000,1.00000000E-003,4.40118108E+003,4.95692320E+004,5.39704131E+004,7.31314605E+001,2
4.900000,3.16227766E-008,4.56290354E+003,4.61394804E+004,5.07023839E+004,7.24722305E+001,4
4.930000,3.16227766E-004,4.28493586E+003,4.89042150E+004,5.31891509E+004,7.26932129E+001,2
4.990000,3.16227766E-007,4.52888373E+003,4.93163901E+004,5.38452738E+004,7.30707941E+001,4
5.070000,3.16227766E-008,4.42225464E+003,4.92802313E+004,5.37024860E+004,7.26056020E+001,4
5.110000,1.00000000E-003,3.92398779E+003,4.67753882E+004,5.06993760E+004,7.14981294E+001,2
5.140000,1.00000000E-003,4.57553085E+003,4.85034039E+004,5.30789348E+004,7.36731008E+001,2
5.160000,3.16227766E-004,4.58545239E+003,4.98975314E+004,5.44829838E+004,7.33545834E+001,2
5.190000,3.16227766E-004,4.09064489E+003,4.61713874E+004,5.02620323E+004,7.16304963E+001,2
5.240000,3.16227766E-008,4.28464868E+003,4.65347597E+004,5.08194084E+004,7.24876720E+001,4
5.260000,3.16227766E-008,4.77250078E+003,5.02325269E+004,5.50050277E+004,7.32617051E+001,4
5.270000,3.16227766E-004,4.00508611E+003,4.62364654E+004,5.02415515E+004,7.11639772E+001,2
5.290000,1.00000000E-003,4.08243963E+003,4.84922686E+004,5.25747082E+004,7.25131684E+001,2
5.300000,3.16227766E-004,4.44344041E+003,4.81200619E+004,5.25635023E+004,7.37064792E+001,3
5.360000,1.00000000E-003,4.20092803E+003,4.73843244E+004,5.15852524E+004,7.18888934E+001,2
5.370000,3.16227766E-004,4.27772463E+003,4.93800772E+004,5.36578018E+004,7.28974905E+001,2
5.390000,1.00000000E-003,3.66344285E+003,4.77691326E+004,5.14325754E+004,7.09006756E+001,2
5.420000,1.00000000E-007,4.01487008E+003,4.72123681E+004,5.12272382E+004,7.09624199E+001,4
5.440000,1.00000000E-003,3.98696466E+003,4.73292557E+004,5.13162204E+004,7.08469641E+001,2
5.460000,3.16227766E-004,3.70661933E+003,4.74178797E+004,5.11244990E+004,7.07641054E+001,2
5.470000,3.16227766E-004,3.81963525E+003,4.63669119E+004,5.01865471E+004,7.08173608E+001,2
5.490000,3.16227766E-008,4.71862828E+003,4.92962151E+004,5.40148434E+004,7.31142217E+001,4
5.500000,1.00000000E-003,3.66509429E+003,4.80606465E+004,5.17257408E+004,7.09904454E+001,2
