Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
1.470000,1.00000000e-02,4.916339e+04,1.292959e+05,6.298820e+01,1.462539e-01,3
1.490000,1.00000000e-02,4.930133e+04,1.323317e+05,1.509829e+02,1.437245e-01,3
1.620000,1.00000000e-02,8.440318e+04,4.548738e+05,9.697027e+01,2.078177e-01,4
169.550000,1.00000000e-01,1.592931e+09,1.113932e+10,6.778555e+05,0.000000e+00,1
170.200000,1.00000000e-02,5.564525e+04,1.223513e+05,6.587792e+01,1.863355e-01,2
170.400000,1.00000000e-02,1.500454e+04,7.863763e+04,5.988613e+02,5.838358e-02,2
179.560000,1.00000000e-02,4.193848e+04,6.524906e+04,3.889394e+02,9.842058e-02,1
180.100000,1.00000000e-02,7.692513e+04,9.302127e+04,5.947203e+02,2.143184e-01,2
180.260000,1.00000000e-02,1.771472e+06,9.950390e+05,1.700487e+03,7.452718e-01,2
189.530000,1.00000000e-02,9.119610e+08,9.166909e+08,4.905592e+06,2.346946e-01,1
