Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
140.460000,5.01187234e-03,3.514132e+04,4.529494e+04,8.043626e+04,1.370772e+02,3
149.570000,5.01187234e-03,3.772306e+04,4.538184e+04,8.310489e+04,1.373522e+02,2
159.500000,5.01187234e-03,3.686745e+04,4.540915e+04,8.227660e+04,1.408144e+02,2
160.360000,5.01187234e-03,3.444787e+04,4.525163e+04,7.969950e+04,1.403182e+02,2
169.550000,5.01187234e-03,4.476150e+04,4.704006e+04,9.180156e+04,1.422301e+02,3
170.400000,3.98107171e-03,4.907210e+04,4.621759e+04,9.528969e+04,1.449506e+02,3
179.500000,5.01187234e-03,3.741710e+04,4.536812e+04,8.278522e+04,1.415764e+02,3
180.090000,5.01187234e-03,3.851829e+04,4.615624e+04,8.467453e+04,1.452821e+02,2
189.580000,3.16227766e-03,4.914002e+04,5.289516e+04,1.020352e+05,2.047573e+02,2
190.440000,7.94328235e-03,2.017189e+05,5.710773e+04,2.588266e+05,2.125454e+02,3
