Paper vs minimum-residual DRT comparison
Dataset: S2422Al.xlsx
Generated: 13-Jul-2026 01:14:40
Total temperatures: 100

Bootstrap repeats for variance metric: 1

Drop ratio for sensitivity metric: 0.15
Sensitivity repeats per lambda: 1

Aggregate comparison
Mean peaks (residual method): 3.6600
Mean peaks (paper method)   : 1.8200
Mean peak delta abs |paper-res| : 1.8400
Median peak delta abs |paper-res|: 2.0000
Temps paper has more peaks      : 0
Temps equal peaks               : 15
Temps paper has fewer peaks     : 85

Mean residual-change sensitivity % (residual-selected lambda): 7.44700229E+000
Mean residual-change sensitivity % (paper-selected lambda)   : 1.75140892E+000
Mean sensitivity delta abs % |paper-res|                    : 5.90598203E+000
Median sensitivity delta abs % |paper-res|                  : 4.95894739E+000
Temps paper lower sensitivity                             : 86
Temps equal sensitivity                                   : 4
Temps paper higher sensitivity                            : 10

Per-temperature detail
TemperatureK,ResidualLambda,PaperLambda,ResidualPeaks,PaperPeaks,PeakDeltaAbs_PaperMinusRes,ResidualSensitivity,PaperSensitivity,SensitivityDeltaAbs_PaperMinusRes
2.000000,1.00000000E+000,1.00000000E+000,1,1,0,1.00730538E+001,1.00730538E+001,0.00000000E+000
5.000000,1.00000000E-004,1.00000000E+000,3,1,2,1.14144904E+001,7.08888147E+000,4.32560893E+000
5.000000,1.00000000E-002,1.00000000E-001,2,2,0,2.12627465E+001,2.95102976E+000,1.83117167E+001
5.000000,1.00000000E-004,1.00000000E+000,3,1,2,1.04739707E+001,1.00666776E-001,1.03733039E+001
5.000000,1.00000000E-004,1.00000000E-001,4,3,1,7.62049512E+000,1.58711488E+000,6.03338024E+000
8.000000,1.00000000E-004,1.00000000E-001,4,2,2,9.52717306E+000,7.95236579E-001,8.73193648E+000
8.000000,1.00000000E-004,1.00000000E-002,4,2,2,1.27059817E+001,2.65172658E+000,1.00542551E+001
8.000000,1.00000000E-004,1.00000000E-002,4,2,2,1.28868693E+001,2.87133015E+000,1.00155392E+001
8.000000,1.00000000E-004,1.00000000E-001,2,1,1,1.97900311E+001,3.32053806E-001,1.94579773E+001
10.000000,1.00000000E-004,1.00000000E+000,3,1,2,1.04759724E+001,3.11135864E-001,1.01648365E+001
10.000000,1.00000000E-004,1.00000000E-001,4,2,2,1.10397762E+001,2.60021375E+000,8.43956245E+000
10.000000,1.00000000E-004,1.00000000E+000,5,1,4,6.15211448E+000,8.02003576E-001,5.35011090E+000
10.000000,1.00000000E-004,1.00000000E-002,2,2,0,7.64207424E+000,4.70051007E+000,2.94156417E+000
15.000000,1.00000000E-004,1.00000000E-001,3,2,1,8.70186042E+000,2.89648530E-001,8.41221189E+000
15.000000,1.00000000E-004,1.00000000E+000,3,1,2,3.15847705E+001,7.67591925E-002,3.15080113E+001
15.000000,1.00000000E-004,1.00000000E-001,3,2,1,1.00530920E+001,1.11406865E+000,8.93902335E+000
15.000000,1.00000000E-002,1.00000000E-002,1,1,0,6.70759613E+000,6.70759613E+000,0.00000000E+000
20.000000,1.00000000E-004,1.00000000E-001,4,2,2,3.58479307E-002,2.14388999E+000,2.10804206E+000
20.000000,1.00000000E-004,1.00000000E+000,4,1,3,4.17701557E+000,1.30197958E+000,2.87503599E+000
20.000000,1.00000000E-004,1.00000000E+000,3,1,2,1.17922691E+001,1.80944147E+000,9.98282763E+000
30.000000,1.00000000E-004,1.00000000E-003,5,3,2,3.35253720E+000,3.76089895E+000,4.08361750E-001
