Paper vs minimum-residual DRT comparison
Dataset: S2302Al.xlsx
Generated: 13-Jul-2026 00:25:27
Total temperatures: 104

Bootstrap repeats for variance metric: 1

Drop ratio for sensitivity metric: 0.15
Sensitivity repeats per lambda: 1

Aggregate comparison
Mean peaks (residual method): 3.6058
Mean peaks (paper method)   : 1.9135
Mean peak delta abs |paper-res| : 1.6923
Median peak delta abs |paper-res|: 2.0000
Temps paper has more peaks      : 0
Temps equal peaks               : 15
Temps paper has fewer peaks     : 89

Mean residual-change sensitivity % (residual-selected lambda): 7.25538552E+000
Mean residual-change sensitivity % (paper-selected lambda)   : 1.77678599E+000
Mean sensitivity delta abs % |paper-res|                    : 5.75065204E+000
Median sensitivity delta abs % |paper-res|                  : 4.52220904E+000
Temps paper lower sensitivity                             : 87
Temps equal sensitivity                                   : 3
Temps paper higher sensitivity                            : 14

Per-temperature detail
TemperatureK,ResidualLambda,PaperLambda,ResidualPeaks,PaperPeaks,PeakDeltaAbs_PaperMinusRes,ResidualSensitivity,PaperSensitivity,SensitivityDeltaAbs_PaperMinusRes
1.500000,1.00000000E-004,1.00000000E+000,3,1,2,1.27682751E+001,1.87673574E-001,1.25806015E+001
1.600000,1.00000000E-002,1.00000000E-002,2,2,0,9.39973599E+000,9.39973599E+000,0.00000000E+000
1.900000,1.00000000E+000,1.00000000E-001,1,1,0,8.25625589E+000,4.39459388E+000,3.86166201E+000
2.000000,1.00000000E-004,1.00000000E-001,3,1,2,9.97770430E+000,5.11110242E+000,4.86660188E+000
2.500000,1.00000000E-004,1.00000000E-002,1,1,0,7.49240200E+000,4.36790276E+000,3.12449924E+000
4.500000,1.00000000E-004,1.00000000E+000,3,1,2,2.41915068E+001,3.11471191E+000,2.10767949E+001
4.700000,1.00000000E-004,1.00000000E-001,4,3,1,6.39608090E+000,1.42763920E+000,4.96844170E+000
4.900000,1.00000000E-004,1.00000000E-001,3,2,1,6.79598963E+000,3.56256807E-001,6.43973282E+000
5.400000,1.00000000E-002,1.00000000E-002,2,2,0,1.93936372E-001,1.93936372E-001,0.00000000E+000
7.500000,1.00000000E-004,1.00000000E+000,4,1,3,1.42829041E+000,1.80956545E+000,3.81275040E-001
7.600000,1.00000000E-004,1.00000000E-002,2,1,1,1.26571974E+001,5.71823846E+000,6.93895894E+000
8.300000,1.00000000E-004,1.00000000E-001,4,2,2,1.25231030E+001,2.85240955E-001,1.22378620E+001
8.500000,1.00000000E-004,1.00000000E-003,4,3,1,1.19541708E+001,3.42563041E+000,8.52854039E+000
9.500000,1.00000000E-004,1.00000000E-001,5,2,3,1.05119793E+001,1.56231423E+000,8.94966507E+000
9.700000,1.00000000E-004,1.00000000E+000,2,1,1,7.28996623E+000,3.26848030E+000,4.02148593E+000
10.100000,1.00000000E-004,1.00000000E+000,3,1,2,2.06850347E+001,2.63504632E+000,1.80499884E+001
10.400000,1.00000000E-004,1.00000000E-001,4,2,2,7.83867996E+000,6.23957278E-001,7.21472268E+000
14.500000,1.00000000E-004,1.00000000E-002,3,2,1,1.31257291E+001,2.51593369E-003,1.31232132E+001
14.600000,1.00000000E-002,1.00000000E+000,1,1,0,3.51104054E+001,1.01765108E+001,2.49338946E+001
15.300000,1.00000000E-004,1.00000000E-003,3,3,0,4.94537815E+000,5.08964147E-001,4.43641400E+000
15.500000,1.00000000E-004,1.00000000E+000,3,1,2,1.24876292E+001,2.69663535E+000,9.79099385E+000
19.500000,1.00000000E-004,1.00000000E+000,3,1,2,1.09927431E+001,1.15600516E+000,9.83673794E+000
19.700000,1.00000000E-004,1.00000000E-002,4,2,2,1.96415769E+000,2.48205431E+000,5.17896620E-001
20.500000,1.00000000E-004,1.00000000E+000,4,1,3,9.33564873E+000,3.05329179E-001,9.03031955E+000
29.500000,1.00000000E-004,1.00000000E-002,4,2,2,7.46385171E+000,2.14736023E+000,5.31649148E+000
29.800000,1.00000000E-004,1.00000000E-002,2,2,0,1.31891704E+001,8.70767639E-001,1.23184028E+001
30.100000,1.00000000E-004,1.00000000E-001,5,2,3,8.86733152E+000,1.45343865E-002,8.85279713E+000
39.500000,1.00000000E-004,1.00000000E-001,4,2,2,9.37099433E+000,1.89906545E+000,7.47192888E+000
39.700000,1.00000000E-001,1.00000000E-001,1,1,0,5.96923277E+000,5.96923277E+000,0.00000000E+000
40.300000,1.00000000E-004,1.00000000E-002,4,3,1,4.18997322E+000,1.68419482E+000,2.50577840E+000
40.500000,1.00000000E-004,1.00000000E-002,3,2,1,1.02160711E+001,5.61648577E-001,9.65442252E+000
49.500000,1.00000000E-004,1.00000000E-001,3,2,1,1.87972535E+001,3.35291605E+000,1.54443375E+001
49.700000,1.00000000E-004,1.00000000E-001,3,2,1,5.20910447E+000,7.96398624E-001,4.41270585E+000
49.900000,1.00000000E-004,1.00000000E-001,2,1,1,1.28438860E+001,3.95698107E+000,8.88690493E+000
50.400000,1.00000000E-004,1.00000000E+000,3,1,2,7.72209670E+000,1.44053650E-001,7.57804305E+000
50.500000,1.00000000E-004,1.00000000E-001,5,2,3,1.11437153E+001,2.43492993E+000,8.70878537E+000
59.500000,1.00000000E-004,1.00000000E+000,3,1,2,8.69267851E-003,5.02555731E-001,4.93863052E-001
59.800000,1.00000000E-004,1.00000000E-001,2,2,0,8.11491199E+000,5.15314450E-001,7.59959754E+000
60.500000,1.00000000E-004,1.00000000E-003,3,2,1,2.30898265E-001,1.23118953E-001,1.07779312E-001
69.500000,1.00000000E-004,1.00000000E-002,5,4,1,2.00658676E+000,3.37816740E-001,1.66877002E+000
69.700000,1.00000000E-004,1.00000000E+000,2,1,1,1.41281041E+001,8.33375019E+000,5.79435391E+000
70.500000,1.00000000E-004,1.00000000E-001,4,2,2,2.06673340E+001,1.65557032E-001,2.05017770E+001
79.500000,1.00000000E-004,1.00000000E-001,3,3,0,9.72478618E+000,1.48497234E+000,8.23981384E+000
79.800000,1.00000000E-004,1.00000000E-002,3,2,1,9.38172126E+000,2.48047427E-001,9.13367383E+000
80.300000,1.00000000E-004,1.00000000E-001,3,2,1,6.16155674E+000,1.25905683E+000,4.90249991E+000
80.500000,1.00000000E-004,1.00000000E-002,5,3,2,6.30074451E+000,7.72037401E-001,5.52870711E+000
84.500000,1.00000000E-004,1.00000000E+000,4,1,3,6.79939389E+000,2.17595960E+000,4.62343429E+000
85.400000,1.00000000E-004,1.00000000E-003,4,4,0,8.94076526E+000,4.92959496E+000,4.01117030E+000
89.500000,1.00000000E-004,1.00000000E-002,4,3,1,6.80528407E+000,2.52504831E+000,4.28023576E+000
90.500000,1.00000000E-004,1.00000000E+000,4,1,3,4.97571227E+000,3.34536957E-001,4.64117531E+000
