Temperature,SelectedLambda,MeanResidual,PeakCount
230.400000,1.00000000e-04,7.814722e+02,4
239.500000,1.00000000e-04,4.759866e+02,5
240.500000,1.00000000e-04,4.859881e+02,5
249.500000,1.00000000e-04,1.256894e+03,5
250.400000,1.00000000e-04,6.588640e+02,6
250.500000,1.00000000e-04,2.159450e+03,4
259.500000,1.00000000e-04,3.088004e+02,5
260.500000,1.00000000e-04,7.420552e+02,6
269.500000,1.00000000e-04,4.350970e+02,6
270.400000,1.00000000e-04,3.032646e+02,4
