Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
110.100000,1.00000000e-02,2.609968e+06,5.492137e+06,4.433218e+05,1.188821e-01,3
110.100000,1.00000000e-02,2.609968e+06,5.492137e+06,4.742407e+05,1.218511e-01,3
120.100000,1.00000000e-02,1.659411e+06,4.145468e+06,5.405224e+05,1.035503e-01,3
120.100000,1.00000000e-02,1.659411e+06,4.145468e+06,7.985300e+05,1.070790e-01,3
130.100000,1.00000000e-02,1.030297e+06,3.681046e+06,3.705190e+05,1.092566e-01,3
130.100000,1.00000000e-02,1.030297e+06,3.681046e+06,2.067205e+05,9.952020e-02,3
140.100000,1.00000000e-02,1.064873e+06,2.912832e+06,1.609661e+05,1.153576e-01,4
140.100000,1.00000000e-02,1.064873e+06,2.912832e+06,3.368378e+05,1.269808e-01,4
150.100000,1.00000000e-02,2.786535e+05,2.236433e+06,1.647422e+05,7.725901e-02,4
150.100000,1.00000000e-02,2.786535e+05,2.236433e+06,3.831993e+05,7.836745e-02,4
