Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
89.780000,1.00000000e-04,8.848182e+04,5.994902e+04,1.484308e+05,1.852710e+02,4
89.780000,1.00000000e-04,8.848182e+04,5.994902e+04,1.484308e+05,1.852710e+02,4
90.460000,1.00000000e-04,2.209126e+06,3.541910e+05,2.563317e+06,5.162547e+02,3
90.460000,1.00000000e-04,2.209126e+06,3.541910e+05,2.563317e+06,5.162547e+02,3
90.500000,1.00000000e-04,1.140756e+08,9.398578e+06,1.234742e+08,5.228312e+03,1
90.500000,1.00000000e-04,1.140756e+08,9.398578e+06,1.234742e+08,5.228312e+03,1
94.520000,1.00000000e-03,4.477784e+06,1.867309e+05,4.664515e+06,9.607595e+02,2
94.520000,1.00000000e-03,4.477784e+06,1.867309e+05,4.664515e+06,9.607595e+02,2
94.670000,1.00000000e-04,5.895328e+04,3.563900e+04,9.459228e+04,1.596581e+02,4
94.670000,1.00000000e-04,5.895328e+04,3.563900e+04,9.459228e+04,1.596581e+02,4
