Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
1.670000,1.00000000e-02,1.496385e+05,1.164704e+05,9.689798e+03,8.445344e-02,2
1.670000,1.00000000e-02,1.496385e+05,1.164704e+05,4.784295e+03,7.412233e-02,2
1.680000,1.00000000e-02,1.497704e+04,7.420312e+05,8.279931e+04,7.700667e-02,2
1.680000,1.00000000e-02,1.497704e+04,7.420312e+05,1.530818e+05,9.292084e-02,2
1.690000,1.00000000e-02,3.143740e+04,7.321463e+05,8.649918e+04,6.708016e-02,3
1.690000,1.00000000e-02,3.143740e+04,7.321463e+05,5.802419e+04,6.564225e-02,3
1.710000,1.00000000e-02,1.536859e+04,7.372337e+05,9.309044e+04,6.625119e-02,2
1.710000,1.00000000e-02,1.536859e+04,7.372337e+05,2.505248e+04,5.892764e-02,2
1.730000,1.00000000e-02,1.990039e+04,7.284175e+05,6.445944e+04,7.277734e-02,3
1.730000,1.00000000e-02,1.990039e+04,7.284175e+05,8.379698e+04,6.080909e-02,3
