Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
160.100000,1.00000000e-04,8.284109e+05,7.020143e+05,1.530425e+06,4.442324e+02,6
160.100000,1.00000000e-04,8.284109e+05,7.020143e+05,1.530425e+06,4.442324e+02,6
170.100000,3.16227766e-04,6.474943e+05,5.176037e+05,1.165098e+06,4.101515e+02,4
170.100000,3.16227766e-04,6.474943e+05,5.176037e+05,1.165098e+06,4.101515e+02,4
179.900000,1.00000000e-01,6.899787e+08,2.208084e+08,9.107872e+08,1.384203e+04,2
179.900000,1.00000000e-01,6.899787e+08,2.208084e+08,9.107872e+08,1.384203e+04,2
180.100000,1.99526231e-04,5.706389e+05,3.763060e+05,9.469449e+05,3.795917e+02,5
180.100000,1.99526231e-04,5.706389e+05,3.763060e+05,9.469449e+05,3.795917e+02,5
190.000000,1.00000000e-03,1.371331e+07,7.650467e+06,2.136378e+07,1.307688e+03,5
190.000000,1.00000000e-03,1.371331e+07,7.650467e+06,2.136378e+07,1.307688e+03,5
