Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
1.480000,1.00000000e-02,7.553920e+03,1.385980e+05,2.986200e+04,3.142019e-02,1
1.490000,1.00000000e-02,9.796831e+05,1.712908e+06,2.837657e+04,2.607128e-01,3
2.070000,1.00000000e-02,2.342335e+05,5.082978e+05,7.032458e+04,7.445267e-02,3
4.530000,1.00000000e-02,2.248678e+05,6.023683e+05,3.130353e+04,1.227931e-01,3
7.570000,1.00000000e-02,4.544655e+04,1.059585e+05,1.198036e+04,6.300157e-02,3
8.490000,1.00000000e-02,3.117256e+04,9.079133e+04,1.459692e+04,6.057360e-02,3
9.530000,1.00000000e-02,3.190746e+04,8.260400e+04,7.988141e+03,5.838361e-02,3
10.420000,1.00000000e-02,2.505170e+04,7.881450e+04,8.625622e+03,8.419149e-02,3
14.530000,1.00000000e-02,1.867197e+04,6.711640e+04,1.457653e+04,6.604885e-02,3
15.410000,1.00000000e-02,2.133263e+04,6.538872e+04,3.951045e+03,5.980604e-02,2
