Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
80.470000,1.00000000e-03,2.647268e+05,1.174813e+05,2.208484e+05,4.468311e-02,3
80.470000,1.00000000e-03,2.647268e+05,1.174813e+05,1.394071e+05,3.090231e-02,3
84.540000,1.00000000e-02,3.097148e+06,1.311053e+07,7.089082e+04,3.062623e-02,3
84.540000,1.00000000e-02,3.097148e+06,1.311053e+07,9.598850e+04,3.200937e-02,3
84.820000,1.00000000e-03,9.053647e+04,1.684384e+05,1.897938e+05,5.343183e-02,3
84.820000,1.00000000e-03,9.053647e+04,1.684384e+05,1.655241e+05,6.235666e-02,3
85.500000,1.00000000e-02,3.961620e+05,6.864118e+05,3.336629e+04,1.108164e-01,2
85.500000,1.00000000e-02,3.961620e+05,6.864118e+05,2.094813e+04,1.157272e-01,2
89.540000,1.00000000e-03,1.515317e+08,2.673319e+07,1.242284e+05,4.059643e-01,2
89.540000,1.00000000e-03,1.515317e+08,2.673319e+07,9.428710e+04,4.100587e-01,2
