Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.470000,1.58489319e-04,8.787822e+04,3.877895e+04,1.266572e+05,2.066388e+02,5
1.490000,1.58489319e-04,9.293628e+04,3.674811e+04,1.296844e+05,2.081303e+02,4
1.620000,1.00000000e-04,3.980973e+05,4.929069e+04,4.473880e+05,2.568891e+02,5
169.550000,1.00000000e-01,7.263423e+09,3.875899e+09,1.113932e+10,4.086511e+04,1
170.200000,1.00000000e-04,7.846098e+04,4.043887e+04,1.188998e+05,1.657617e+02,3
170.400000,1.58489319e-02,3.579414e+04,4.228624e+04,7.808038e+04,1.713262e+02,2
179.560000,7.94328235e-03,2.261556e+04,4.242341e+04,6.503897e+04,1.805188e+02,1
180.100000,1.00000000e-04,3.297180e+04,4.577593e+04,7.874774e+04,1.879349e+02,2
180.260000,1.00000000e-04,7.804200e+05,1.299974e+05,9.104174e+05,4.536278e+02,2
189.530000,1.00000000e-04,4.814824e+08,4.101717e+08,8.916541e+08,1.054170e+04,1
