Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
160.450000,1.00000000e-02,4.647033e+04,1.133431e+05,1.225523e+02,6.404520e-02,2
169.590000,1.00000000e-02,4.647757e+04,1.197235e+05,1.007025e+02,7.554175e-02,2
170.490000,1.00000000e-02,4.721240e+04,1.186698e+05,1.582017e+02,7.237216e-02,2
180.480000,1.00000000e-02,4.813935e+04,1.163749e+05,2.629220e+02,7.853328e-02,2
190.460000,1.00000000e-02,4.787179e+04,1.167187e+05,7.883787e+01,7.872241e-02,2
200.460000,1.00000000e-02,4.827251e+04,1.172911e+05,2.093993e+02,1.192985e-01,2
210.420000,1.00000000e-02,5.258801e+04,1.072389e+05,1.007405e+02,7.196987e-02,2
220.450000,1.00000000e-02,5.096963e+04,1.074608e+05,1.809168e+02,9.393610e-02,2
230.450000,1.00000000e-02,4.950187e+04,1.177470e+05,1.388142e+02,8.688953e-02,2
240.490000,1.00000000e-02,9.468166e+04,1.141862e+05,1.155491e+02,9.930764e-02,3
