Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
1.500000,1.00000000e-01,7.537309e+09,4.792421e+11,6.366497e+07,0.000000e+00,1
1.600000,1.00000000e-01,1.177754e+13,4.535774e+13,2.440020e+09,0.000000e+00,2
1.900000,1.00000000e-02,4.532484e+13,5.480764e+13,8.341203e+10,5.414159e-01,4
2.000000,1.00000000e-01,2.024451e+10,2.033055e+11,3.946427e+07,0.000000e+00,1
2.500000,1.00000000e-01,2.294207e+12,1.162619e+14,1.027064e+09,0.000000e+00,1
4.500000,1.00000000e-01,3.846982e+10,5.744154e+10,4.489847e+06,0.000000e+00,4
4.700000,1.00000000e-01,4.319056e+09,1.355852e+10,3.892939e+06,0.000000e+00,3
4.900000,1.00000000e-02,1.500310e+09,7.253260e+09,2.449540e+07,7.741169e-02,2
5.400000,1.00000000e-02,2.371422e+10,1.508099e+10,3.220197e+07,9.085203e-02,2
7.500000,1.00000000e-02,1.462212e+09,1.509040e+09,2.848279e+07,7.718683e-02,2
