Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
79.570000,1.00000000e-04,8.878919e+05,9.940523e+05,1.881944e+06,5.950035e+02,4
84.520000,1.00000000e-04,9.169409e+05,6.138192e+05,1.530760e+06,5.544785e+02,4
85.430000,1.00000000e-04,6.117691e+05,8.455661e+05,1.457335e+06,5.390489e+02,3
89.550000,1.00000000e-04,7.948147e+05,5.696625e+05,1.364477e+06,5.370243e+02,4
94.550000,1.00000000e-04,5.332941e+05,6.603500e+05,1.193644e+06,4.888523e+02,4
96.510000,1.00000000e-04,6.491516e+05,4.915893e+05,1.140741e+06,4.973624e+02,5
97.440000,1.00000000e-04,5.136254e+05,5.239551e+05,1.037580e+06,4.844197e+02,3
99.560000,1.00000000e-04,5.994027e+05,4.738846e+05,1.073287e+06,4.761134e+02,3
101.560000,1.00000000e-04,5.513807e+05,4.684493e+05,1.019830e+06,4.737698e+02,4
102.520000,1.00000000e-04,4.104275e+05,6.282157e+05,1.038643e+06,4.550920e+02,4
