Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
279.730000,1.00000000e-02,5.811677e+04,1.554019e+05,5.693732e+01,3.078379e-01,3
279.950000,1.00000000e-02,5.868965e+04,1.565917e+05,3.881340e+01,3.015785e-01,3
1.560000,1.00000000e-02,4.872785e+04,1.295111e+05,1.491004e+02,1.495642e-01,2
1.570000,1.00000000e-02,5.002240e+04,1.290991e+05,1.118803e+02,1.401819e-01,2
1.580000,1.00000000e-02,4.799141e+04,1.296314e+05,8.263200e+01,1.511500e-01,2
1.590000,1.00000000e-02,4.795929e+04,1.287784e+05,4.199438e+01,1.366108e-01,2
1.850000,1.00000000e-02,4.898412e+04,1.408338e+05,3.679884e+01,1.445809e-01,3
2.470000,1.00000000e-02,4.962546e+04,1.338641e+05,9.265446e+01,1.533662e-01,3
4.520000,1.00000000e-02,4.809047e+04,1.381855e+05,1.842659e+02,1.936451e-01,4
7.570000,1.00000000e-02,4.763160e+04,1.345439e+05,7.488980e+01,1.535935e-01,3
