Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
69.700000,1.00000000e-01,7.517363e+09,2.412959e+11,3.956124e+07,4.794483e-02,2
70.500000,1.00000000e-02,8.574515e+06,2.183136e+07,5.910256e+05,1.462166e-01,3
79.500000,1.00000000e-01,2.793079e+08,5.119796e+08,3.580151e+04,0.000000e+00,3
79.800000,1.00000000e-02,2.369943e+06,8.600444e+06,5.269936e+05,1.065090e-01,2
80.300000,1.00000000e-02,6.875504e+06,6.420498e+06,7.871449e+05,1.055669e-01,2
80.500000,1.00000000e-02,7.312059e+06,1.932360e+07,6.938803e+05,9.506805e-02,3
84.500000,1.00000000e-02,1.014000e+07,3.050516e+07,2.960132e+05,9.690625e-02,3
85.400000,1.00000000e-02,3.404783e+07,1.598617e+07,1.023003e+05,2.683630e-02,2
89.500000,1.00000000e-02,8.079481e+06,1.161179e+07,1.773635e+06,1.609771e-01,4
90.500000,1.00000000e-02,3.130138e+07,3.446528e+07,3.138793e+05,7.305215e-02,2
