Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
199.600000,1.00000000e-02,4.497515e+04,1.014065e+05,1.572132e+03,5.376014e-02,3
200.360000,1.00000000e-02,4.169989e+04,6.910082e+04,1.455062e+03,4.168579e-02,2
209.570000,1.00000000e-02,9.814811e+04,7.447538e+04,6.816097e+02,2.310846e-02,2
210.110000,1.00000000e-02,3.758451e+04,7.828380e+04,9.678681e+02,4.429373e-02,2
219.710000,1.00000000e-02,3.097782e+04,9.298668e+04,4.871747e+02,3.233390e-02,3
229.520000,1.00000000e-02,3.631731e+04,7.715053e+04,8.132961e+02,3.846696e-02,2
230.160000,1.00000000e-02,3.204406e+04,8.940114e+04,1.105335e+03,5.418652e-02,3
236.530000,1.00000000e-02,2.868864e+04,9.198330e+04,7.008489e+02,5.380047e-02,2
239.940000,1.00000000e-02,3.124018e+04,8.850380e+04,1.897915e+02,2.953715e-02,2
249.610000,1.00000000e-02,3.413809e+04,9.068878e+04,9.138534e+02,4.379151e-02,3
