Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2222Al.xlsx
Generated: 13-Jul-2026 07:59:44
Total temperatures: 112

Aggregate summary
Mean selected lambda: 2.03592778E-002
Mean real-part CV: 3.11828122E+010
Mean imag-part CV: 3.39816795E+010
Mean total CV: 6.51644916E+010
Mean absolute residual: 2.96272595E+004
Mean peak count: 2.6071
Max peak count: 5

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
94.800000,1.00000000E-003,4.14446466E+006,3.85649226E+006,8.00095691E+006,1.00463955E+003,2
94.800000,1.00000000E-003,4.14446466E+006,3.85649226E+006,8.00095691E+006,1.00463955E+003,2
96.500000,3.16227766E-005,4.30262312E+006,2.59538903E+006,6.89801215E+006,9.10281249E+002,3
96.500000,3.16227766E-005,4.30262312E+006,2.59538903E+006,6.89801215E+006,9.10281249E+002,3
97.400000,1.00000000E-004,3.40053275E+006,3.22546231E+006,6.62599506E+006,8.96753460E+002,3
97.400000,1.00000000E-004,3.40053275E+006,3.22546231E+006,6.62599506E+006,8.96753460E+002,3
102.000000,3.16227766E-006,3.09661991E+006,2.57691955E+006,5.67353947E+006,8.60191695E+002,3
102.000000,3.16227766E-006,3.09661991E+006,2.57691955E+006,5.67353947E+006,8.60191695E+002,3
103.500000,1.00000000E-004,2.40151196E+006,3.53281452E+006,5.93432648E+006,8.46175664E+002,2
103.500000,1.00000000E-004,2.40151196E+006,3.53281452E+006,5.93432648E+006,8.46175664E+002,2
105.500000,3.16227766E-004,3.41564685E+006,2.59587855E+006,6.01152540E+006,8.33356049E+002,3
105.500000,3.16227766E-004,3.41564685E+006,2.59587855E+006,6.01152540E+006,8.33356049E+002,3
108.500000,1.00000000E-004,2.57660282E+006,2.19551549E+006,4.77211830E+006,7.78970162E+002,3
108.500000,1.00000000E-004,2.57660282E+006,2.19551549E+006,4.77211830E+006,7.78970162E+002,3
110.100000,3.16227766E-004,2.09380840E+006,2.55880808E+006,4.65261648E+006,7.22855921E+002,2
110.100000,3.16227766E-004,2.09380840E+006,2.55880808E+006,4.65261648E+006,7.22855921E+002,2
120.100000,3.16227766E-004,1.76857432E+006,1.69099946E+006,3.45957378E+006,6.44319702E+002,2
120.100000,3.16227766E-004,1.76857432E+006,1.69099946E+006,3.45957378E+006,6.44319702E+002,2
130.100000,1.00000000E-004,1.62567427E+006,1.40644997E+006,3.03212423E+006,6.41075534E+002,3
130.100000,1.00000000E-004,1.62567427E+006,1.40644997E+006,3.03212423E+006,6.41075534E+002,3
140.100000,1.00000000E-004,1.04216683E+006,1.32266435E+006,2.36483118E+006,5.55883219E+002,4
140.100000,1.00000000E-004,1.04216683E+006,1.32266435E+006,2.36483118E+006,5.55883219E+002,4
150.100000,1.00000000E-004,7.22451616E+005,1.01902995E+006,1.74148157E+006,4.80873657E+002,4
150.100000,1.00000000E-004,7.22451616E+005,1.01902995E+006,1.74148157E+006,4.80873657E+002,4
160.100000,1.00000000E-008,8.27044321E+005,6.25001380E+005,1.45204570E+006,4.37353849E+002,5
160.100000,1.00000000E-008,8.27044321E+005,6.25001380E+005,1.45204570E+006,4.37353849E+002,5
170.100000,3.16227766E-004,6.47473251E+005,5.17603683E+005,1.16507693E+006,4.06757547E+002,2
170.100000,3.16227766E-004,6.47473251E+005,5.17603683E+005,1.16507693E+006,4.06757547E+002,2
179.900000,3.16227766E-001,5.06646966E+008,2.55289870E+008,7.61936837E+008,1.35391244E+004,1
179.900000,3.16227766E-001,5.06646966E+008,2.55289870E+008,7.61936837E+008,1.35391244E+004,1
180.100000,1.00000000E-004,5.70391717E+005,3.76974999E+005,9.47366717E+005,3.73148997E+002,3
180.100000,1.00000000E-004,5.70391717E+005,3.76974999E+005,9.47366717E+005,3.73148997E+002,3
190.000000,1.00000000E-003,1.19190425E+007,7.65046663E+006,1.95695091E+007,1.31915766E+003,3
190.000000,1.00000000E-003,1.19190425E+007,7.65046663E+006,1.95695091E+007,1.31915766E+003,3
190.100000,1.00000000E-004,3.04302885E+005,4.42430326E+005,7.46733211E+005,3.30812803E+002,4
190.100000,1.00000000E-004,3.04302885E+005,4.42430326E+005,7.46733211E+005,3.30812803E+002,4
200.000000,3.16227766E-007,2.31927670E+005,3.24155803E+005,5.56083473E+005,2.94946440E+002,5
200.000000,3.16227766E-007,2.31927670E+005,3.24155803E+005,5.56083473E+005,2.94946440E+002,5
210.000000,1.00000000E-004,2.51446406E+005,2.58804351E+005,5.10250757E+005,2.94852583E+002,3
210.000000,1.00000000E-004,2.51446406E+005,2.58804351E+005,5.10250757E+005,2.94852583E+002,3
219.900000,3.16227766E-003,5.19352776E+005,5.47713969E+005,1.06706675E+006,4.46471883E+002,2
219.900000,3.16227766E-003,5.19352776E+005,5.47713969E+005,1.06706675E+006,4.46471883E+002,2
220.000000,1.00000000E-004,1.60350785E+005,2.33305012E+005,3.93655797E+005,2.57933255E+002,2
220.000000,1.00000000E-004,1.60350785E+005,2.33305012E+005,3.93655797E+005,2.57933255E+002,2
230.000000,1.00000000E-004,1.86660309E+005,2.08703952E+005,3.95364261E+005,2.43574019E+002,3
230.000000,1.00000000E-004,1.86660309E+005,2.08703952E+005,3.95364261E+005,2.43574019E+002,3
240.000000,3.16227766E-005,1.34537626E+005,1.82765757E+005,3.17303383E+005,2.33035040E+002,2
240.000000,3.16227766E-005,1.34537626E+005,1.82765757E+005,3.17303383E+005,2.33035040E+002,2
249.900000,1.00000000E-008,1.48216562E+005,9.88531484E+004,2.47069710E+005,2.08300238E+002,5
249.900000,1.00000000E-008,1.48216562E+005,9.88531484E+004,2.47069710E+005,2.08300238E+002,5
250.000000,1.00000000E-004,2.41736654E+005,3.45393499E+005,5.87130153E+005,2.79715335E+002,3
250.000000,1.00000000E-004,2.41736654E+005,3.45393499E+005,5.87130153E+005,2.79715335E+002,3
259.900000,1.00000000E-003,1.58503247E+005,3.23875992E+005,4.82379239E+005,2.72681873E+002,2
259.900000,1.00000000E-003,1.58503247E+005,3.23875992E+005,4.82379239E+005,2.72681873E+002,2
270.000000,1.00000000E-005,1.11511099E+005,1.48996795E+005,2.60507894E+005,2.02903233E+002,4
270.000000,1.00000000E-005,1.11511099E+005,1.48996795E+005,2.60507894E+005,2.02903233E+002,4
