Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.480000,1.00000000e-04,3.966826e+04,8.059183e+04,1.202601e+05,1.880712e+02,4
1.490000,1.00000000e-04,9.597443e+05,6.564479e+05,1.616192e+06,3.694573e+02,5
2.070000,6.30957344e-03,3.252127e+05,1.762962e+05,5.015088e+05,2.416653e+02,3
4.530000,3.98107171e-03,3.911892e+05,2.020836e+05,5.932728e+05,2.447980e+02,3
7.570000,3.98107171e-03,4.084046e+04,6.124765e+04,1.020881e+05,1.502932e+02,3
8.490000,3.98107171e-03,3.168618e+04,5.557914e+04,8.726532e+04,1.455193e+02,3
9.530000,3.98107171e-03,2.441138e+04,5.541740e+04,7.982878e+04,1.439200e+02,3
10.420000,1.25892541e-03,2.239633e+04,5.153309e+04,7.392943e+04,1.393735e+02,3
14.530000,3.16227766e-03,1.670941e+04,4.770254e+04,6.441194e+04,1.384878e+02,3
15.410000,3.98107171e-03,1.483593e+04,4.823615e+04,6.307208e+04,1.380669e+02,2
