Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
90.500000,1.00000000e-02,1.600901e+03,4.479155e+04,1.642754e+04,5.352753e-02,3
94.500000,1.00000000e-02,1.917210e+03,4.177760e+04,1.394839e+04,4.731520e-02,3
95.400000,1.00000000e-02,4.318228e+03,4.370691e+04,2.063242e+04,6.490540e-02,3
96.500000,1.00000000e-02,2.979012e+03,4.462664e+04,2.960839e+04,6.002055e-02,3
97.400000,1.00000000e-02,2.442692e+03,3.812563e+04,1.204583e+04,4.788032e-02,2
99.500000,1.00000000e-02,1.059707e+03,3.754912e+04,4.138934e+04,6.073643e-02,3
100.400000,1.00000000e-02,1.714285e+03,3.755220e+04,1.259437e+04,6.209534e-02,2
101.500000,1.00000000e-02,1.127711e+03,3.885578e+04,1.667346e+04,5.786205e-02,3
102.400000,1.00000000e-02,1.254779e+03,3.713512e+04,1.196655e+04,5.413924e-02,2
103.300000,1.00000000e-02,1.550910e+03,3.846944e+04,8.916022e+03,4.970439e-02,3
