Paper vs minimum-residual DRT comparison
Dataset: S2332Sap.xlsx
Generated: 13-Jul-2026 00:53:28
Total temperatures: 220

Bootstrap repeats for variance metric: 1

Drop ratio for sensitivity metric: 0.15
Sensitivity repeats per lambda: 1

Aggregate comparison
Mean peaks (residual method): 1.6091
Mean peaks (paper method)   : 1.1318
Mean peak delta abs |paper-res| : 0.4864
Median peak delta abs |paper-res|: 0.0000
Temps paper has more peaks      : 1
Temps equal peaks               : 144
Temps paper has fewer peaks     : 75

Mean residual-change sensitivity % (residual-selected lambda): 4.45125106E+000
Mean residual-change sensitivity % (paper-selected lambda)   : 2.02547336E+000
Mean sensitivity delta abs % |paper-res|                    : 2.78925444E+000
Median sensitivity delta abs % |paper-res|                  : 1.91920203E+000
Temps paper lower sensitivity                             : 165
Temps equal sensitivity                                   : 18
Temps paper higher sensitivity                            : 37

Per-temperature detail
TemperatureK,ResidualLambda,PaperLambda,ResidualPeaks,PaperPeaks,PeakDeltaAbs_PaperMinusRes,ResidualSensitivity,PaperSensitivity,SensitivityDeltaAbs_PaperMinusRes
1.670000,1.00000000E-004,1.00000000E-001,1,1,0,5.75631384E-001,8.24040935E-001,2.48409551E-001
1.670000,1.00000000E-004,1.00000000E-003,1,1,0,3.97789269E+000,4.26576535E-001,3.55131616E+000
1.680000,1.00000000E-004,1.00000000E-001,2,1,1,9.75714158E+000,2.70667274E+000,7.05046884E+000
1.680000,1.00000000E-004,1.00000000E-002,2,1,1,4.28460725E+000,5.29428102E+000,1.00967377E+000
1.690000,1.00000000E-004,1.00000000E-002,1,1,0,1.07658228E+001,5.01089185E+000,5.75493095E+000
1.690000,1.00000000E-004,1.00000000E-001,1,1,0,5.62256643E+000,8.46409101E-001,4.77615733E+000
1.710000,1.00000000E-004,1.00000000E-003,3,1,2,2.39500061E+000,3.10841011E+000,7.13409500E-001
1.710000,1.00000000E-004,1.00000000E-002,3,1,2,1.15469060E+001,1.01206576E+000,1.05348402E+001
1.730000,1.00000000E-004,1.00000000E-004,1,1,0,1.47038663E+000,1.47038663E+000,0.00000000E+000
1.730000,1.00000000E-004,1.00000000E-004,1,1,0,5.99404583E+000,5.99404583E+000,0.00000000E+000
1.750000,1.00000000E-004,1.00000000E-001,2,1,1,1.40663801E+001,8.43798174E-001,1.32225819E+001
1.750000,1.00000000E-004,1.00000000E-003,2,1,1,9.35975280E+000,6.84238084E-001,8.67551472E+000
1.780000,1.00000000E-004,1.00000000E-001,3,1,2,9.02357527E+000,2.72663460E+000,6.29694067E+000
1.780000,1.00000000E-004,1.00000000E-002,3,1,2,4.64831633E+000,4.57975517E+000,6.85611600E-002
1.800000,1.00000000E-004,1.00000000E-002,1,1,0,6.30435261E+000,3.98454076E+000,2.31981185E+000
1.800000,1.00000000E-004,1.00000000E-001,1,1,0,7.23211812E+000,1.62197021E+000,5.61014791E+000
1.860000,1.00000000E-004,1.00000000E-003,1,1,0,1.80499940E+000,1.59312354E+000,2.11875860E-001
1.860000,1.00000000E-004,1.00000000E-002,1,1,0,1.42153385E+001,4.73826471E+000,9.47707379E+000
2.120000,1.00000000E-004,1.00000000E-003,1,1,0,1.64426806E+000,8.61277422E-001,7.82990638E-001
2.120000,1.00000000E-004,1.00000000E-003,1,1,0,5.49923664E+000,7.55450299E+000,2.05526635E+000
2.480000,1.00000000E-004,1.00000000E-001,1,1,0,6.61375721E+000,9.63432270E-002,6.51741398E+000
2.480000,1.00000000E-004,1.00000000E-003,1,2,1,6.79811296E+000,2.19269727E+000,4.60541569E+000
5.040000,1.00000000E-004,1.00000000E-003,1,1,0,6.39288589E+000,3.71989794E+000,2.67298795E+000
5.040000,1.00000000E-004,1.00000000E-002,1,1,0,4.51887821E+000,5.30850062E-001,3.98802815E+000
5.050000,1.00000000E-004,1.00000000E-002,1,1,0,6.02962758E+000,8.85910191E+000,2.82947433E+000
5.050000,1.00000000E-004,1.00000000E-003,1,1,0,3.30366169E+000,3.15160233E-001,2.98850146E+000
5.060000,1.00000000E-004,1.00000000E-002,1,1,0,2.14779394E+000,5.97882677E-002,2.08800567E+000
5.060000,1.00000000E-004,1.00000000E-003,1,1,0,1.06020529E+001,2.23144478E+000,8.37060812E+000
5.090000,1.00000000E-004,1.00000000E-001,1,1,0,3.90921256E+000,1.95829042E+000,1.95092214E+000
5.090000,1.00000000E-004,1.00000000E-004,1,1,0,6.17033622E+000,6.17033622E+000,0.00000000E+000
5.180000,1.00000000E-004,1.00000000E-001,1,1,0,1.06448165E+001,2.35705497E+000,8.28776153E+000
5.180000,1.00000000E-004,1.00000000E-002,1,1,0,5.88218038E+000,3.86427872E+000,2.01790166E+000
