Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
230.400000,7.94328235e-02,2.196686e+06,2.022196e+06,4.218881e+06,1.043264e+03,2
239.500000,3.98107171e-03,1.250285e+06,2.910782e+05,1.541363e+06,5.071132e+02,3
240.500000,3.98107171e-04,7.749642e+05,3.088423e+05,1.083806e+06,4.962569e+02,4
249.500000,1.00000000e-01,6.969237e+06,3.541811e+06,1.051105e+07,1.469742e+03,3
250.400000,5.01187234e-02,2.002228e+06,2.543565e+06,4.545792e+06,7.991756e+02,3
250.500000,1.58489319e-02,9.949726e+06,2.177207e+06,1.212693e+07,2.227472e+03,4
259.500000,3.16227766e-02,2.272843e+05,2.541316e+05,4.814159e+05,3.790959e+02,2
260.500000,1.00000000e-01,2.430134e+06,1.249124e+06,3.679258e+06,8.850403e+02,3
269.500000,2.51188643e-02,5.684892e+05,4.786010e+05,1.047090e+06,4.842927e+02,2
270.400000,1.00000000e-04,1.868148e+05,1.228116e+05,3.096264e+05,3.032646e+02,4
