Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
190.300000,1.99526231e-03,1.136489e+06,3.404457e+05,1.476935e+06,4.491624e+02,4
190.500000,1.00000000e-04,2.097698e+06,1.126766e+06,3.224463e+06,7.210119e+02,4
199.500000,1.25892541e-03,2.439341e+05,1.977950e+05,4.417291e+05,2.803608e+02,4
200.500000,1.00000000e-04,4.157877e+06,2.593737e+06,6.751615e+06,9.500596e+02,5
209.500000,1.25892541e-02,2.376578e+06,5.492568e+05,2.925834e+06,7.667558e+02,3
210.500000,1.00000000e-01,1.018223e+07,6.403988e+06,1.658622e+07,1.903741e+03,3
219.500000,7.94328235e-04,3.003780e+06,1.286709e+06,4.290489e+06,8.880287e+02,3
220.400000,2.51188643e-03,4.397765e+05,4.115661e+05,8.513427e+05,4.211968e+02,4
220.500000,1.00000000e-04,4.685375e+05,4.122158e+05,8.807532e+05,4.750672e+02,3
229.500000,7.94328235e-03,5.809232e+05,2.906601e+05,8.715833e+05,5.569981e+02,2
