Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
149.500000,1.00000000e-03,1.046185e+12,2.026453e+12,3.072638e+12,3.999978e+05,2
150.500000,1.00000000e-01,4.821609e+11,1.349161e+12,1.831322e+12,3.371276e+05,1
159.500000,1.00000000e-04,4.964369e+04,9.730675e+03,5.937436e+04,1.237248e+02,4
169.500000,1.00000000e-01,1.667452e+12,4.384451e+11,2.105897e+12,4.150920e+05,1
179.600000,1.00000000e-01,1.094344e+06,1.864301e+05,1.280774e+06,3.305409e+02,1
180.200000,1.00000000e-01,7.321262e+08,2.272263e+08,9.593525e+08,1.055130e+04,2
189.600000,1.00000000e-01,1.297450e+07,1.163943e+07,2.461393e+07,1.699815e+03,2
190.200000,1.00000000e-01,4.275367e+07,5.138093e+06,4.789177e+07,2.737018e+03,1
199.500000,1.00000000e-04,3.509643e+03,4.765425e+03,8.275068e+03,5.065104e+01,3
200.000000,3.16227766e-03,2.446732e+06,2.423343e+05,2.689067e+06,6.507860e+02,3
