Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
209.500000,3.98107171e-03,9.186828e+03,1.048655e+04,1.967338e+04,7.504327e+01,3
210.200000,1.99526231e-04,2.753888e+08,8.305246e+07,3.584413e+08,8.438926e+03,4
219.600000,7.94328235e-03,5.907034e+08,2.030361e+07,6.110070e+08,1.096555e+04,3
220.200000,1.00000000e-01,1.090734e+09,3.219383e+08,1.412672e+09,1.326592e+04,4
229.500000,1.00000000e-01,8.328367e+06,7.513147e+06,1.584151e+07,9.909902e+02,2
229.600000,7.94328235e-03,1.240563e+04,2.544467e+04,3.785031e+04,9.014587e+01,3
230.500000,1.99526231e-04,2.023416e+04,6.269754e+03,2.650391e+04,7.954283e+01,3
239.500000,1.99526231e-03,4.839362e+03,5.967317e+03,1.080668e+04,6.651761e+01,2
239.900000,1.00000000e-04,8.295128e+03,6.305064e+03,1.460019e+04,6.333437e+01,4
249.500000,6.30957344e-02,1.740072e+05,3.876193e+04,2.127691e+05,2.547170e+02,1
