Temperature,SelectedLambda,MeanResidual,PeakCount
4.900000,1.00000000e-04,3.392703e+04,5
4.900000,1.00000000e-04,3.392703e+04,5
5.200000,7.94328235e-04,3.134995e+04,4
5.200000,7.94328235e-04,3.134995e+04,4
5.500000,1.00000000e-04,3.649785e+04,5
5.500000,1.00000000e-04,3.649785e+04,5
7.500000,1.00000000e-04,1.754818e+04,6
7.500000,1.00000000e-04,1.754818e+04,6
8.000000,3.98107171e-04,1.636793e+04,5
8.000000,3.98107171e-04,1.636793e+04,5
