Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
149.500000,1.00000000e-02,9.428140e+12,3.248615e+12,2.805963e+09,2.900468e-01,2
150.500000,1.00000000e-01,7.569677e+11,1.831322e+12,4.558975e+07,0.000000e+00,1
159.500000,1.00000000e-02,1.687101e+04,7.269883e+04,1.366934e+04,4.795936e-02,2
169.500000,1.00000000e-01,6.174156e+10,2.105897e+12,2.657444e+07,0.000000e+00,1
179.600000,1.00000000e-01,1.830695e+05,1.280774e+06,4.478095e+02,0.000000e+00,1
180.200000,1.00000000e-01,3.323498e+08,9.593525e+08,4.848251e+03,0.000000e+00,2
189.600000,1.00000000e-01,2.038279e+07,2.461393e+07,2.638321e+03,0.000000e+00,2
190.200000,1.00000000e-01,3.333866e+06,4.789177e+07,2.368957e+03,0.000000e+00,1
199.500000,1.00000000e-02,1.397602e+03,1.639687e+04,4.265932e+03,6.100106e-02,3
200.000000,1.00000000e-02,1.879887e+06,2.712847e+06,3.775533e+03,5.295549e-02,2
