Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
210.270000,1.00000000e-04,1.658261e+04,1.500867e+04,3.159128e+04,1.018813e+02,6
210.210000,1.00000000e-04,1.658261e+04,1.500867e+04,3.159128e+04,1.018813e+02,6
210.460000,1.99526231e-04,2.502118e+03,4.813905e+03,7.316023e+03,5.210743e+01,2
210.460000,1.99526231e-04,2.502118e+03,4.813905e+03,7.316023e+03,5.210743e+01,2
220.130000,1.00000000e-04,1.440771e+05,9.553311e+04,2.396102e+05,2.293517e+02,4
220.130000,1.00000000e-04,1.440771e+05,9.553311e+04,2.396102e+05,2.293517e+02,4
229.610000,1.00000000e-01,2.899137e+07,2.648767e+07,5.547904e+07,1.975278e+03,2
229.610000,1.00000000e-01,2.899137e+07,2.648767e+07,5.547904e+07,1.975278e+03,2
239.530000,3.98107171e-04,1.118087e+08,1.774540e+07,1.295541e+08,2.851035e+03,5
239.530000,3.98107171e-04,1.118087e+08,1.774540e+07,1.295541e+08,2.851035e+03,5
