Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2322Sap.xlsx
Generated: 13-Jul-2026 08:22:09
Total temperatures: 69

Aggregate summary
Mean selected lambda: 7.82913612E-004
Mean real-part CV: 1.12668972E+010
Mean imag-part CV: 1.26380337E+010
Mean total CV: 2.39049308E+010
Mean absolute residual: 7.04405607E+003
Mean peak count: 2.2609
Max peak count: 4

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
199.570000,3.16227766E-005,3.39499798E+005,2.70008838E+005,6.09508636E+005,4.78858225E+002,2
209.500000,1.00000000E-008,3.86973064E+005,2.54433951E+005,6.41407015E+005,4.84515762E+002,2
210.450000,3.16227766E-005,2.22749798E+005,3.14835132E+005,5.37584930E+005,4.47079422E+002,3
219.630000,1.00000000E-008,3.17906317E+005,3.49296866E+005,6.67203183E+005,4.38434160E+002,3
220.480000,3.16227766E-004,2.41550402E+005,4.08722614E+005,6.50273016E+005,4.41895918E+002,2
229.570000,1.00000000E-004,2.86104593E+005,2.14669997E+005,5.00774590E+005,4.55212321E+002,1
230.440000,1.00000000E-004,3.39686022E+005,2.16187615E+005,5.55873636E+005,4.53735361E+002,3
239.570000,3.16227766E-004,7.15861253E+005,3.39082127E+005,1.05494338E+006,5.43925297E+002,1
240.420000,1.00000000E-008,3.48871729E+005,2.15389123E+005,5.64260851E+005,4.23581594E+002,2
249.500000,1.00000000E-005,3.40729103E+005,2.05780364E+005,5.46509467E+005,4.41289201E+002,2
250.470000,3.16227766E-006,1.80870668E+005,2.31480852E+005,4.12351520E+005,3.95124944E+002,2
259.560000,1.00000000E-004,9.98250761E+005,3.45100067E+005,1.34335083E+006,6.13345023E+002,2
269.570000,1.00000000E-005,1.54469625E+006,4.88763695E+005,2.03345995E+006,9.00257331E+002,2
269.810000,1.00000000E-003,6.65124650E+005,4.12962627E+005,1.07808728E+006,4.94178327E+002,1
270.380000,1.00000000E-003,3.99156661E+006,1.53792300E+006,5.52948961E+006,9.26340476E+002,2
270.420000,1.00000000E-005,4.32294323E+005,2.09709216E+005,6.42003539E+005,4.86796018E+002,3
279.530000,1.00000000E-008,2.96965741E+006,1.44944777E+006,4.41910518E+006,1.12214249E+003,3
279.540000,1.00000000E-004,1.59647630E+005,1.61067881E+005,3.20715511E+005,3.86049156E+002,2
279.560000,1.00000000E-008,2.26794918E+005,2.21825397E+005,4.48620315E+005,4.08764686E+002,2
280.300000,1.00000000E-004,1.48142756E+006,4.17855660E+005,1.89928322E+006,6.87054327E+002,3
280.460000,1.00000000E-008,3.80953679E+005,2.20521523E+005,6.01475201E+005,4.51490447E+002,3
