Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
10.470000,1.00000000e-04,1.382252e+04,1.525660e+04,2.907912e+04,1.012276e+02,4
10.470000,1.00000000e-04,1.382252e+04,1.525660e+04,2.907912e+04,1.012276e+02,4
14.800000,1.00000000e-04,1.396538e+04,1.278034e+04,2.674573e+04,8.920540e+01,4
14.800000,1.00000000e-04,1.396538e+04,1.278034e+04,2.674573e+04,8.920540e+01,4
15.480000,1.00000000e-04,1.010177e+04,1.492393e+04,2.502570e+04,9.126179e+01,3
15.480000,1.00000000e-04,1.010177e+04,1.492393e+04,2.502570e+04,9.126179e+01,3
20.410000,3.16227766e-03,6.818193e+04,1.231073e+05,1.912892e+05,1.966668e+02,3
20.410000,3.16227766e-03,6.818193e+04,1.231073e+05,1.912892e+05,1.966668e+02,3
30.460000,1.00000000e-04,1.252749e+06,2.491188e+05,1.501867e+06,4.207422e+02,3
30.460000,1.00000000e-04,1.252749e+06,2.491188e+05,1.501867e+06,4.207422e+02,3
