Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
107.800000,1.00000000e-02,1.852468e+05,4.535849e+05,2.837145e+04,3.055588e-01,1
107.800000,1.00000000e-03,5.280942e+04,1.083321e+05,1.938585e+05,7.671372e-02,3
108.480000,1.00000000e-03,1.006544e+05,1.077683e+05,9.414105e+04,2.908535e-02,3
108.480000,1.00000000e-03,1.006544e+05,1.077683e+05,7.261628e+04,2.541721e-02,3
109.760000,1.00000000e-03,3.809573e+04,9.951246e+04,1.440335e+05,8.069457e-02,3
109.760000,1.00000000e-03,3.809573e+04,9.951246e+04,1.099768e+05,6.809599e-02,3
110.460000,1.00000000e-03,1.034124e+05,1.066165e+05,1.869187e+05,1.200782e-01,3
110.460000,1.00000000e-03,1.034124e+05,1.066165e+05,3.019068e+05,1.973274e-01,3
119.730000,1.00000000e-01,7.651904e+07,3.076031e+08,1.398959e+03,0.000000e+00,1
119.730000,1.00000000e-01,7.651904e+07,3.076031e+08,1.910205e+03,0.000000e+00,1
