Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
60.480000,1.00000000e-02,7.418111e+03,7.869738e+04,1.596656e+03,5.352215e-02,2
60.480000,1.00000000e-02,7.418111e+03,7.869738e+04,1.486468e+04,6.403665e-02,2
69.760000,1.00000000e-02,1.248248e+05,2.857915e+05,6.389464e+04,9.066728e-02,2
69.760000,1.00000000e-02,1.248248e+05,2.857915e+05,1.616017e+04,9.966290e-02,2
70.450000,1.00000000e-02,1.280672e+04,9.388271e+04,7.329048e+03,5.711761e-02,3
70.450000,1.00000000e-02,1.280672e+04,9.388271e+04,2.896735e+04,1.296727e-01,3
79.560000,1.00000000e-02,7.433790e+04,2.284665e+05,1.530895e+04,1.105062e-01,3
79.560000,1.00000000e-02,7.433790e+04,2.284665e+05,1.129755e+04,9.258428e-02,3
79.800000,1.00000000e-03,3.088200e+04,1.193139e+05,2.420199e+05,1.450980e-01,3
79.800000,1.00000000e-03,3.088200e+04,1.193139e+05,2.915446e+05,1.236614e-01,3
