TemperatureK,PointCount,Lambda,R_inf,MeanAbsResidual,RMSE,RID,CVReal,CVImag,CVTotal,ResampleVariance,Score,IsResidualBest,IsPaperBest
59.550000,198,2.51188643e-02,59.65853450,105.34535068,215.66473218,1.48443634e+04,7.47956082e+03,4.76202983e+04,5.50998591e+04,1.21502447e+03,0.12756237,0,0
59.550000,198,5.01187234e-02,53.98859261,123.81657960,222.86631115,9.19156386e+03,1.72429011e+04,5.09326583e+04,6.81755594e+04,4.07989563e+02,0.33593311,0,0
59.550000,198,1.00000000e-01,49.17795140,148.91987872,236.29590275,7.11096251e+03,5.03702815e+04,5.68379063e+04,1.07208188e+05,3.95022823e+02,1.00000000,0,0
84.520000,198,1.00000000e-04,77.91965575,73.68619586,207.73496775,7.16443295e+05,3.51627757e+03,4.55418755e+04,4.90581531e+04,1.60755103e+05,2.01111245,1,0
84.520000,198,1.99526231e-04,77.24578718,73.99618843,207.77701895,4.01212795e+05,3.47827818e+03,4.54268854e+04,4.89051635e+04,7.14346409e+04,1.00688340,0,0
84.520000,198,3.98107171e-04,76.45988437,74.63643710,207.85845742,2.30857611e+05,3.45350210e+03,4.53258941e+04,4.87793962e+04,4.65849608e+04,0.60914814,0,0
84.520000,198,7.94328235e-04,75.58480237,75.73416032,208.00264116,1.36598835e+05,3.44344950e+03,4.52337039e+04,4.86771534e+04,2.40479766e+04,0.33361303,0,0
84.520000,198,1.58489319e-03,74.62177932,77.29542684,208.22638460,8.13777579e+04,3.44601073e+03,4.51435204e+04,4.85895311e+04,8.32685669e+03,0.15589534,0,0
84.520000,198,3.16227766e-03,73.42675997,79.30915078,208.56579123,5.03566334e+04,3.49395258e+03,4.50588617e+04,4.85528143e+04,4.82677951e+03,0.08955094,0,0
84.520000,198,6.30957344e-03,71.62499882,82.04627009,209.15437479,3.23888497e+04,3.73968315e+03,4.50256327e+04,4.87653159e+04,3.38749431e+03,0.05992743,0,1
84.520000,198,1.25892541e-02,68.72057088,86.53443563,210.36324194,2.23030992e+04,4.61846780e+03,4.52292431e+04,4.98477109e+04,2.11941459e+03,0.06161104,0,0
84.520000,198,2.51188643e-02,64.53571110,96.00026724,212.98478607,1.46959668e+04,7.24685782e+03,4.62280407e+04,5.34748986e+04,1.06647460e+03,0.12408941,0,0
84.520000,198,5.01187234e-02,59.82993679,111.44631020,218.20767922,9.35925055e+03,1.51798359e+04,4.86722615e+04,6.38520974e+04,3.27400120e+02,0.34015732,0,0
84.520000,198,1.00000000e-01,55.93736739,132.70843246,228.16669916,7.08127600e+03,4.09673690e+04,5.30604418e+04,9.40278109e+04,2.45032723e+02,1.00000000,0,0
94.520000,198,1.00000000e-04,81.37333335,76.08881427,208.19848986,6.08736406e+05,5.04966357e+03,4.59603597e+04,5.10100233e+04,1.27197749e+05,2.01525268,1,0
94.520000,198,1.99526231e-04,80.89343407,76.36052664,208.23128331,3.58937683e+05,4.97893374e+03,4.58677850e+04,5.08467188e+04,8.95886638e+04,1.30003060,0,0
94.520000,198,3.98107171e-04,80.30973127,76.81854475,208.28841243,2.11943150e+05,4.91606057e+03,4.57771658e+04,5.06932264e+04,3.25420706e+04,0.60295296,0,0
94.520000,198,7.94328235e-04,79.53632684,77.52658561,208.38726142,1.25332026e+05,4.85884845e+03,4.56885027e+04,5.05473512e+04,2.97706226e+04,0.43395686,0,0
94.520000,198,1.58489319e-03,78.63798523,78.53479690,208.53431166,7.55132885e+04,4.80914936e+03,4.55981749e+04,5.04073242e+04,1.36462111e+04,0.22112540,0,0
94.520000,198,3.16227766e-03,77.43185746,80.07905403,208.77543374,4.82185357e+04,4.81477541e+03,4.54732881e+04,5.02880635e+04,6.26420110e+03,0.11505807,0,0
94.520000,198,6.30957344e-03,75.53254647,82.66114759,209.26636466,3.22461627e+04,5.06476118e+03,4.53992206e+04,5.04639818e+04,2.76030634e+03,0.06460658,0,1
94.520000,198,1.25892541e-02,72.46218568,87.30709278,210.38390748,2.28965450e+04,6.06476207e+03,4.55939307e+04,5.16586928e+04,1.62518158e+03,0.06535277,0,0
94.520000,198,2.51188643e-02,68.08663653,96.15204533,212.87572051,1.58658270e+04,9.03557935e+03,4.64821310e+04,5.55177103e+04,7.18724459e+02,0.12804585,0,0
94.520000,198,5.01187234e-02,63.13331149,110.87759631,217.86553750,1.02134506e+04,1.76525540e+04,4.89057890e+04,6.65583430e+04,5.51377432e+02,0.35057749,0,0
94.520000,198,1.00000000e-01,58.97917510,131.42341739,227.34638798,7.63148963e+03,4.43826723e+04,5.32386921e+04,9.76213644e+04,2.28417980e+02,1.00000000,0,0
104.550000,198,1.00000000e-04,80.32428814,74.02881433,208.18494989,6.47019685e+05,4.21362323e+03,4.58549694e+04,5.00685926e+04,1.59368070e+05,2.01810581,1,0
104.550000,198,1.99526231e-04,79.76268706,74.39074513,208.21793065,3.73987878e+05,4.15343688e+03,4.57667370e+04,4.99201739e+04,6.27829833e+04,0.98120817,0,0
104.550000,198,3.98107171e-04,79.02245395,74.95031950,208.27771747,2.20447076e+05,4.09480174e+03,4.56820355e+04,4.97768372e+04,3.06630222e+04,0.53616475,0,0
104.550000,198,7.94328235e-04,78.17620531,75.78380808,208.37397180,1.32035693e+05,4.03377617e+03,4.55823828e+04,4.96161590e+04,3.06476475e+04,0.39420413,0,0
104.550000,198,1.58489319e-03,77.14837616,76.90077466,208.51932351,7.88531541e+04,3.97142671e+03,4.54536054e+04,4.94250321e+04,8.47130697e+03,0.16739071,0,0
104.550000,198,3.16227766e-03,75.67668857,78.47402816,208.76825360,4.96817093e+04,3.95990287e+03,4.53179773e+04,4.92778802e+04,3.77810560e+03,0.08894380,0,0
104.550000,198,6.30957344e-03,73.30016137,81.13157900,209.29982673,3.24631196e+04,4.18020318e+03,4.52465044e+04,4.94267076e+04,2.38771381e+03,0.05670485,0,1
104.550000,198,1.25892541e-02,69.73637928,86.54292828,210.53342331,2.28961329e+04,5.09101516e+03,4.54566715e+04,5.05476866e+04,7.42273644e+02,0.05708336,0,0
