Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
15.500000,1.00000000e-02,2.796330e+08,3.487235e+08,3.915181e+06,1.579813e-01,3
19.500000,1.00000000e-02,1.621939e+08,1.528646e+08,1.804992e+06,1.503497e-01,2
19.700000,1.00000000e-01,2.872937e+08,4.451083e+08,2.974641e+05,0.000000e+00,2
20.500000,1.00000000e-02,2.365609e+07,1.294855e+08,5.079349e+06,7.786873e-02,3
29.500000,1.00000000e-02,1.197864e+07,5.573479e+07,4.178253e+06,1.043998e-01,3
29.800000,1.00000000e-01,8.233995e+11,2.747210e+12,2.604158e+08,0.000000e+00,2
30.100000,1.00000000e-02,3.481302e+07,6.346287e+07,3.120255e+06,2.096213e-01,3
39.500000,1.00000000e-02,2.100840e+06,3.192715e+07,1.749302e+06,6.512325e-02,2
39.700000,1.00000000e-01,4.186399e+10,7.041302e+11,1.016657e+08,7.904996e-02,2
40.300000,1.00000000e-02,6.143621e+07,4.002827e+07,6.203664e+05,2.474577e-01,3
