Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
107.500000,1.00000000e-04,5.425408e+06,4.642393e+06,1.006780e+07,1.441243e+03,4
108.400000,1.99526231e-03,8.962072e+06,8.060723e+06,1.702279e+07,2.154543e+03,3
109.500000,5.01187234e-04,5.692588e+06,4.570053e+06,1.026264e+07,1.645908e+03,4
119.500000,1.00000000e-04,5.596313e+06,3.484193e+06,9.080506e+06,1.359492e+03,4
120.400000,1.58489319e-04,1.496827e+08,3.141540e+07,1.810981e+08,3.598001e+03,5
129.500000,1.00000000e-04,2.275514e+08,3.680186e+07,2.643533e+08,6.610697e+03,4
130.500000,1.00000000e-01,4.003961e+08,2.871101e+08,6.875063e+08,7.038063e+03,4
139.500000,7.94328235e-04,8.000461e+06,1.097783e+06,9.098244e+06,1.059780e+03,4
140.400000,1.58489319e-03,2.518563e+06,1.877866e+06,4.396429e+06,1.085557e+03,3
149.500000,5.01187234e-03,6.472708e+05,4.027889e+05,1.050060e+06,4.530983e+02,3
