Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
249.510000,1.00000000e-02,4.722947e+04,1.004237e+05,5.798793e+01,1.076611e-01,2
249.680000,1.00000000e-02,4.949782e+04,9.442670e+04,8.104150e+01,1.053934e-01,2
250.360000,1.00000000e-02,5.241239e+04,1.090804e+05,3.182175e+01,1.357379e-01,2
259.550000,1.00000000e-02,4.303295e+04,9.372083e+04,1.283868e+02,6.249279e-02,2
259.890000,1.00000000e-02,5.775533e+04,1.549143e+05,3.457916e+01,2.892057e-01,3
260.200000,1.00000000e-02,5.742746e+04,1.540266e+05,5.852439e+01,3.085232e-01,3
260.420000,1.00000000e-02,5.682230e+04,1.550376e+05,6.068141e+01,2.964226e-01,3
269.570000,1.00000000e-02,5.768756e+04,1.559079e+05,6.744923e+01,3.087792e-01,3
270.400000,1.00000000e-02,5.760251e+04,1.544374e+05,3.355034e+01,2.992681e-01,3
279.520000,1.00000000e-02,5.811825e+04,1.566860e+05,7.438068e+01,3.223622e-01,3
