Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
19.520000,1.00000000e-04,4.773810e+07,4.670526e+07,9.444336e+07,3.693244e+03,5
20.390000,1.00000000e-04,4.655748e+07,6.203224e+07,1.085897e+08,3.574395e+03,4
29.570000,5.01187234e-04,2.369528e+07,2.510006e+07,4.879535e+07,2.661702e+03,4
30.440000,1.00000000e-04,1.711194e+07,2.807613e+07,4.518807e+07,2.493292e+03,3
49.560000,1.00000000e-04,1.104986e+07,1.112108e+07,2.217095e+07,1.779249e+03,4
59.530000,1.00000000e-04,6.394177e+06,8.193797e+06,1.458797e+07,1.455057e+03,4
69.550000,1.25892541e-04,4.308524e+06,4.561089e+06,8.869613e+06,1.210270e+03,4
79.520000,1.00000000e-04,4.320531e+06,2.918481e+06,7.239012e+06,1.125552e+03,4
80.360000,1.99526231e-04,5.022238e+06,3.699567e+06,8.721805e+06,1.086905e+03,3
84.520000,2.51188643e-04,2.779123e+06,3.642692e+06,6.421815e+06,1.118152e+03,4
