Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
10.470000,1.00000000e-03,1.871957e+04,3.474362e+04,1.048413e+05,2.418895e-01,2
10.470000,1.00000000e-03,1.871957e+04,3.474362e+04,2.894468e+05,2.398100e-01,2
14.800000,1.00000000e-02,4.895623e+04,1.117475e+05,1.266494e+04,5.783912e-02,3
14.800000,1.00000000e-02,4.895623e+04,1.117475e+05,1.938811e+04,6.920133e-02,3
15.480000,1.00000000e-03,4.543498e+04,2.926636e+04,7.345205e+04,3.723208e-02,3
15.480000,1.00000000e-03,4.543498e+04,2.926636e+04,8.477869e+04,4.459943e-02,3
20.410000,1.00000000e-02,1.921311e+05,2.389086e+05,3.257169e+04,6.053856e-02,3
20.410000,1.00000000e-02,1.921311e+05,2.389086e+05,3.145558e+04,4.273286e-02,3
30.460000,1.00000000e-02,3.881405e+06,2.855880e+06,1.449765e+04,2.600558e-01,2
30.460000,1.00000000e-02,3.881405e+06,2.855880e+06,3.173170e+04,2.917061e-01,2
