Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
85.380000,1.00000000e-04,3.271017e+06,2.329460e+06,5.600477e+06,9.839888e+02,3
89.510000,1.00000000e-04,3.437391e+06,2.543593e+06,5.980984e+06,9.851724e+02,4
90.400000,3.16227766e-04,3.646144e+06,2.488927e+06,6.135070e+06,1.016727e+03,3
94.530000,1.00000000e-04,1.856848e+06,2.679058e+06,4.535906e+06,9.069821e+02,4
95.430000,1.00000000e-04,2.549309e+06,1.602170e+06,4.151479e+06,8.728750e+02,4
96.530000,2.51188643e-04,2.686360e+06,2.101920e+06,4.788280e+06,9.253443e+02,4
97.460000,1.00000000e-04,1.991607e+06,2.446631e+06,4.438238e+06,9.020370e+02,5
99.520000,1.00000000e-04,1.443291e+06,2.516145e+06,3.959435e+06,8.547068e+02,3
100.470000,2.51188643e-04,2.740897e+06,2.044716e+06,4.785614e+06,8.661159e+02,3
101.570000,1.25892541e-04,2.747529e+06,1.741769e+06,4.489299e+06,8.644398e+02,4
