Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
4.900000,1.00000000e-01,1.686376e+09,1.433014e+10,1.133053e+07,0.000000e+00,1
4.900000,1.00000000e-01,1.686376e+09,1.433014e+10,1.047848e+07,0.000000e+00,1
5.200000,1.00000000e-02,1.206240e+10,1.381926e+10,5.365499e+07,3.162443e-01,3
5.200000,1.00000000e-02,1.206240e+10,1.381926e+10,8.078662e+07,3.920756e-01,3
5.500000,1.00000000e-02,1.379648e+10,1.960329e+10,3.172473e+07,1.923287e-01,4
5.500000,1.00000000e-02,1.379648e+10,1.960329e+10,2.830009e+07,1.772034e-01,4
7.500000,1.00000000e-03,2.863623e+10,3.883620e+09,4.087300e+08,4.930991e-01,5
7.500000,1.00000000e-03,2.863623e+10,3.883620e+09,2.752557e+08,4.196453e-01,5
8.000000,1.00000000e-01,2.543874e+08,2.972356e+09,1.225275e+06,0.000000e+00,1
8.000000,1.00000000e-01,2.543874e+08,2.972356e+09,1.497572e+06,0.000000e+00,1
