Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.510000,5.01187234e-03,4.749987e+09,1.661920e+10,2.136918e+10,4.434098e+04,2
1.530000,5.01187234e-02,6.170507e+09,5.293554e+09,1.146406e+10,3.858692e+04,2
2.180000,5.01187234e-03,7.992906e+09,7.115262e+09,1.510817e+10,3.685690e+04,4
4.540000,1.99526231e-02,3.308608e+08,6.895982e+08,1.020459e+09,1.064927e+04,2
7.560000,1.25892541e-04,8.090374e+07,1.134249e+08,1.943287e+08,4.581788e+03,5
9.510000,1.99526231e-03,3.602112e+07,5.417253e+07,9.019365e+07,3.408875e+03,3
10.380000,1.99526231e-03,2.975527e+07,4.735567e+07,7.711094e+07,3.178812e+03,3
14.540000,1.00000000e-04,1.724871e+07,2.386573e+07,4.111444e+07,2.375564e+03,5
15.420000,6.30957344e-04,1.479078e+07,1.882830e+07,3.361908e+07,2.239359e+03,3
19.570000,1.00000000e-04,1.205148e+07,9.200220e+06,2.125170e+07,1.806239e+03,5
