Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
19.520000,1.00000000e-02,2.663729e+07,1.075332e+08,1.099756e+06,1.943490e-01,2
20.390000,1.00000000e-02,2.830495e+07,1.147940e+08,6.448507e+05,1.936299e-01,2
29.570000,1.00000000e-02,1.782199e+07,5.670889e+07,1.692835e+06,1.780345e-01,2
30.440000,1.00000000e-02,2.491792e+06,5.410961e+07,1.725791e+05,1.399679e-01,1
49.560000,1.00000000e-02,8.680388e+06,2.668581e+07,6.871817e+05,3.428605e-01,2
59.530000,1.00000000e-02,4.315728e+06,1.829471e+07,4.199716e+05,2.365504e-01,2
69.550000,1.00000000e-02,3.931233e+06,1.271869e+07,4.318124e+05,2.043157e-01,3
79.520000,1.00000000e-02,2.299156e+06,1.029644e+07,2.768078e+05,1.506873e-01,2
80.360000,1.00000000e-02,2.923342e+06,1.116972e+07,1.136943e+05,1.886641e-01,2
84.520000,1.00000000e-02,2.264151e+06,8.993293e+06,3.775497e+05,1.494283e-01,2
