Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
199.510000,1.00000000e-02,1.782829e+05,6.152555e+05,2.268516e+04,6.037938e-02,3
199.510000,1.00000000e-02,1.782829e+05,6.152555e+05,4.871522e+04,7.613555e-02,3
199.870000,1.00000000e-02,1.634020e+05,1.427608e+05,5.098280e+04,9.813862e-02,2
199.870000,1.00000000e-02,1.634020e+05,1.427608e+05,1.630998e+04,7.212778e-02,2
200.210000,1.00000000e-02,1.819629e+05,4.734004e+05,1.694419e+04,3.609149e-02,3
200.210000,1.00000000e-02,1.819629e+05,4.734004e+05,1.242794e+04,3.063881e-02,3
200.450000,1.00000000e-02,1.399613e+03,1.804140e+04,1.503063e+03,3.758447e-02,3
200.450000,1.00000000e-02,1.399613e+03,1.804140e+04,1.665900e+03,3.834116e-02,3
209.570000,1.00000000e-02,1.664189e+03,1.692080e+04,3.902393e+03,4.312712e-02,3
209.570000,1.00000000e-02,1.664189e+03,1.692080e+04,2.741493e+03,4.482700e-02,3
