TemperatureK,PointIndex,Tau_s
59.550000,104,7.330909660107e-06
59.550000,105,6.863092186551e-06
59.550000,106,6.425128228775e-06
59.550000,107,6.015112452158e-06
59.550000,108,5.631261752374e-06
59.550000,109,5.271906071626e-06
59.550000,110,4.935482642398e-06
59.550000,111,4.620527770452e-06
59.550000,112,4.325671649181e-06
59.550000,113,4.049631574916e-06
59.550000,114,3.791206757631e-06
59.550000,115,3.549273188559e-06
59.550000,116,3.322778501714e-06
59.550000,117,3.110737386472e-06
59.550000,118,2.912227566817e-06
59.550000,119,2.726385550847e-06
59.550000,120,2.552402910337e-06
59.550000,121,2.389522841926e-06
59.550000,122,2.237036898084e-06
59.550000,123,2.094281742188e-06
59.550000,124,1.960636436352e-06
59.550000,125,1.835519612738e-06
59.550000,126,1.718387031686e-06
59.550000,127,1.608729211037e-06
59.550000,128,1.506069133759e-06
59.550000,129,1.409960242410e-06
59.550000,130,1.319984482573e-06
59.550000,131,1.235750473864e-06
59.550000,132,1.156891805808e-06
59.550000,133,1.083065458531e-06
59.550000,134,1.013950293731e-06
59.550000,135,9.492456704016e-07
59.550000,136,8.886701326418e-07
59.550000,137,8.319601873591e-07
59.550000,138,7.788691540701e-07
59.550000,139,7.291660928748e-07
59.550000,140,6.826347998415e-07
59.550000,141,6.390728740449e-07
59.550000,142,5.982908258250e-07
59.550000,143,5.601112604797e-07
59.550000,144,5.243681001920e-07
59.550000,145,4.909058682761e-07
59.550000,146,4.595790078981e-07
59.550000,147,4.302512516331e-07
59.550000,148,4.027950294878e-07
59.550000,149,3.770909091053e-07
59.550000,150,3.530270812424e-07
59.550000,151,3.304988723182e-07
59.550000,152,3.094082871155e-07
59.550000,153,2.896635850814e-07
59.550000,154,2.711788792743e-07
59.550000,155,2.538737633534e-07
59.550000,156,2.376729632802e-07
59.550000,157,2.225060073000e-07
59.550000,158,2.083069213533e-07
59.550000,159,1.950139414732e-07
59.550000,160,1.825692452276e-07
59.550000,161,1.709186994713e-07
59.550000,162,1.600116262977e-07
59.550000,163,1.498005813738e-07
59.550000,164,1.402411481500e-07
59.550000,165,1.312917443361e-07
59.550000,166,1.229134416150e-07
59.550000,167,1.150697946159e-07
59.550000,168,1.077266855553e-07
59.550000,169,1.008521722277e-07
59.550000,170,9.441635242801e-08
59.550000,171,8.839123026718e-08
59.550000,172,8.275059740509e-08
59.550000,173,7.746991829993e-08
59.550000,174,7.252622235569e-08
59.550000,175,6.789800532602e-08
59.550000,176,6.356513549857e-08
59.550000,177,5.950876484793e-08
59.550000,178,5.571124905887e-08
59.550000,179,5.215606956802e-08
59.550000,180,4.882776164882e-08
59.550000,181,4.571184762963e-08
59.550000,182,4.279477377465e-08
59.550000,183,4.006385123461e-08
59.550000,184,3.750720087420e-08
59.550000,185,3.511370158237e-08
59.550000,186,3.287294207949e-08
59.550000,187,3.077517520390e-08
59.550000,188,2.881127606568e-08
59.550000,189,2.697270195533e-08
59.550000,190,2.525145532784e-08
59.550000,191,2.364004902277e-08
59.550000,192,2.213147365069e-08
59.550000,193,2.071916708238e-08
59.550000,194,1.939698600697e-08
59.550000,195,1.815917910371e-08
59.550000,196,1.700036209720e-08
59.550000,197,1.591549430919e-08
59.550000,198,1.591549430919e-08
84.520000,1,6.529433562744e-03
84.520000,2,6.112879977412e-03
84.520000,3,5.722733561968e-03
84.520000,4,5.357489584673e-03
84.520000,5,5.015597601535e-03
84.520000,6,4.695528635253e-03
84.520000,7,4.395938215492e-03
84.520000,8,4.115402039974e-03
84.520000,9,3.852790992082e-03
84.520000,10,3.606910891601e-03
84.520000,11,3.376719985825e-03
84.520000,12,3.161223197313e-03
84.520000,13,2.959535546644e-03
84.520000,14,2.770658619708e-03
84.520000,15,2.593832088070e-03
84.520000,16,2.428326438289e-03
84.520000,17,2.273349756344e-03
84.520000,18,2.128280486914e-03
84.520000,19,1.992475313502e-03
84.520000,20,1.865322868299e-03
84.520000,21,1.746288011629e-03
84.520000,22,1.634839993959e-03
84.520000,23,1.530527307182e-03
84.520000,24,1.432847267564e-03
84.520000,25,1.341415653931e-03
84.520000,26,1.255808916968e-03
84.520000,27,1.175677151957e-03
84.520000,28,1.100648979550e-03
84.520000,29,1.030409192738e-03
84.520000,30,9.646572623853e-04
84.520000,31,9.030990007030e-04
84.520000,32,8.454670407814e-04
84.520000,33,7.915124210720e-04
84.520000,34,7.410034457657e-04
84.520000,35,6.937183416305e-04
84.520000,36,6.494476625992e-04
84.520000,37,6.080046419011e-04
84.520000,38,5.692053656781e-04
84.520000,39,5.328806909719e-04
84.520000,40,4.988760922803e-04
84.520000,41,4.670409424805e-04
84.520000,42,4.372364522500e-04
84.520000,43,4.093343940596e-04
84.520000,44,3.832131675128e-04
84.520000,45,3.587584684699e-04
84.520000,46,3.358648712756e-04
84.520000,47,3.144316857715e-04
84.520000,48,2.943661440285e-04
84.520000,49,2.755815223123e-04
84.520000,50,2.579952424203e-04
84.520000,51,2.415317678270e-04
84.520000,52,2.261182926246e-04
84.520000,53,2.116889407660e-04
84.520000,54,1.981799429099e-04
84.520000,55,1.855333297878e-04
84.520000,56,1.736936201820e-04
84.520000,57,1.626094175585e-04
84.520000,58,1.522326213346e-04
84.520000,59,1.425179658325e-04
84.520000,60,1.334233215649e-04
84.520000,61,1.249089155370e-04
84.520000,62,1.169379899575e-04
84.520000,63,1.094756565012e-04
84.520000,64,1.024895150924e-04
84.520000,65,9.594924288475e-05
84.520000,66,8.982629217833e-05
84.520000,67,8.409408051640e-05
84.520000,68,7.872764597151e-05
84.520000,69,7.370369261485e-05
84.520000,70,6.900034037025e-05
84.520000,71,6.459713707070e-05
84.520000,72,6.047490154539e-05
84.520000,73,5.661574067626e-05
84.520000,74,5.300283208894e-05
84.520000,75,4.962049005124e-05
84.520000,76,4.645398894768e-05
84.520000,77,4.348955561473e-05
84.520000,78,4.071429381425e-05
84.520000,79,3.811613314724e-05
84.520000,80,3.568378069335e-05
84.520000,81,3.340663949550e-05
84.520000,82,3.127481605455e-05
84.520000,83,2.927903388111e-05
84.520000,84,2.741060623900e-05
84.520000,85,2.566141895128e-05
84.520000,86,2.402384816915e-05
