Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2302Al.xlsx
Generated: 13-Jul-2026 08:16:16
Total temperatures: 104

Aggregate summary
Mean selected lambda: 1.94106419E-001
Mean real-part CV: 9.32044754E+011
Mean imag-part CV: 1.64119876E+012
Mean total CV: 2.57324351E+012
Mean absolute residual: 8.97383836E+004
Mean peak count: 2.8750
Max peak count: 6

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.500000,3.16227766E-002,2.27858435E+011,2.48454736E+011,4.76313171E+011,1.83821326E+005,1
1.600000,3.16227766E-001,3.79100818E+013,5.40804471E+012,4.33181265E+013,1.21355656E+006,1
1.900000,1.00000000E-003,1.05171975E+013,4.16241610E+013,5.21413585E+013,1.45690932E+006,2
2.000000,3.16227766E-001,1.18790129E+011,8.14568859E+010,2.00247015E+011,1.54221059E+005,1
2.500000,1.00000000E+001,1.98246920E+013,9.42956546E+013,1.14120347E+014,1.88185213E+006,1
4.500000,3.16227766E-001,3.50222133E+010,1.45278492E+010,4.95500624E+010,6.66280101E+004,1
4.700000,3.16227766E-001,7.24765618E+009,5.13334655E+009,1.23810027E+010,5.28507040E+004,2
4.900000,1.00000000E-008,2.61031771E+009,4.57707511E+009,7.18739281E+009,2.84630353E+004,3
5.400000,1.00000000E-002,8.80156977E+009,6.15590913E+009,1.49574789E+010,3.80160489E+004,2
7.500000,1.00000000E-002,8.05389424E+008,7.03650916E+008,1.50904034E+009,1.31305094E+004,2
7.600000,1.00000000E-008,1.68102249E+013,8.04034735E+012,2.48505722E+013,1.10873199E+006,2
8.300000,1.00000000E-003,6.02504366E+008,8.91533255E+008,1.49403762E+009,1.30700469E+004,2
8.500000,1.00000000E-002,5.78617911E+008,4.92151085E+008,1.07076900E+009,1.09328297E+004,2
9.500000,3.16227766E-003,3.66208208E+008,5.63434524E+008,9.29642732E+008,9.97456815E+003,2
