Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
104.500000,1.00000000e-02,2.765590e+03,3.852941e+04,2.728605e+04,5.520459e-02,3
105.300000,1.00000000e-02,1.212926e+03,3.508890e+04,1.181897e+04,6.180023e-02,4
107.500000,1.00000000e-02,9.514482e+02,3.485819e+04,5.686343e+03,4.224075e-02,3
108.400000,1.00000000e-02,1.539950e+03,3.482637e+04,2.439315e+04,5.770802e-02,3
109.500000,1.00000000e-02,1.186123e+03,3.391090e+04,1.832265e+04,4.928138e-02,2
110.400000,1.00000000e-02,1.675552e+03,3.368451e+04,1.190815e+04,5.102922e-02,3
119.500000,1.00000000e-02,3.253531e+03,3.172528e+04,2.190863e+04,5.740841e-02,3
120.400000,1.00000000e-02,1.527022e+03,2.960275e+04,1.760998e+04,6.559210e-02,3
129.600000,1.00000000e-02,1.066296e+03,2.685442e+04,1.277890e+04,5.176836e-02,3
139.600000,1.00000000e-01,8.598911e+10,1.213478e+11,8.955497e+06,0.000000e+00,4
