Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
2.100000,1.00000000e-02,1.385515e+11,1.393358e+11,1.758267e+08,2.723422e-02,3
2.100000,1.00000000e-02,1.385515e+11,1.393358e+11,1.784693e+08,3.550990e-02,3
2.200000,1.00000000e-01,7.130958e+10,3.443368e+11,2.898178e+07,0.000000e+00,3
2.200000,1.00000000e-01,7.130958e+10,3.443368e+11,4.873099e+07,0.000000e+00,3
2.300000,1.00000000e-02,7.821433e+09,2.331379e+11,1.733651e+08,1.031050e-02,4
2.300000,1.00000000e-02,7.821433e+09,2.331379e+11,3.282877e+08,1.823171e-02,4
2.500000,1.00000000e-02,4.757424e+10,8.394160e+10,2.106203e+08,1.348322e-02,3
2.500000,1.00000000e-02,4.757424e+10,8.394160e+10,6.459629e+07,2.115114e-02,3
4.600000,1.00000000e-01,1.082736e+09,1.170241e+10,5.810526e+06,0.000000e+00,1
4.600000,1.00000000e-01,1.082736e+09,1.170241e+10,3.234450e+06,0.000000e+00,1
