Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
249.650000,1.00000000e-02,2.762548e+05,2.164045e+05,1.786113e+04,7.825307e-02,2
249.650000,1.00000000e-02,2.762548e+05,2.164045e+05,2.763640e+04,8.634631e-02,2
250.480000,1.00000000e-02,5.122914e+13,1.861604e+13,2.386516e+09,3.434666e-01,2
250.480000,1.00000000e-03,1.989593e+14,1.789610e+13,1.203031e+10,3.485070e-01,2
259.580000,1.00000000e-01,1.802687e+07,8.791378e+07,8.699832e+02,0.000000e+00,1
259.580000,1.00000000e-01,1.802687e+07,8.791378e+07,9.573208e+02,0.000000e+00,1
260.440000,1.00000000e-02,5.263580e+13,2.007917e+13,1.489097e+10,5.459251e-02,2
260.440000,1.00000000e-02,5.263580e+13,2.007917e+13,2.826322e+10,6.551947e-02,2
269.570000,1.00000000e-02,2.979371e+05,2.354361e+05,1.464746e+04,7.277466e-02,3
269.570000,1.00000000e-02,2.979371e+05,2.354361e+05,1.445272e+04,7.502473e-02,3
