Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
107.500000,1.00000000e-02,5.232971e+06,1.037883e+07,6.987740e+05,1.090880e-01,3
108.400000,1.00000000e-02,5.118346e+07,1.792101e+07,4.150163e+05,1.031605e-01,3
109.500000,1.00000000e-02,1.025669e+07,1.055481e+07,4.657972e+05,4.875226e-02,3
119.500000,1.00000000e-02,9.282016e+06,1.000770e+07,3.801495e+05,1.575326e-01,2
120.400000,1.00000000e-02,1.131906e+08,1.868181e+08,3.646313e+05,1.424441e-01,3
129.500000,1.00000000e-02,7.834331e+08,2.705606e+08,1.912005e+05,2.559681e-01,3
130.500000,1.00000000e-01,3.968952e+08,6.875063e+08,6.766640e+04,0.000000e+00,4
139.500000,1.00000000e-02,3.503183e+06,9.445650e+06,4.076449e+05,1.432791e-01,3
140.400000,1.00000000e-02,1.553491e+06,4.774200e+06,4.604942e+05,6.911506e-02,3
149.500000,1.00000000e-02,1.200330e+06,1.096587e+06,5.486939e+04,3.892705e-02,3
