Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
39.610000,1.00000000e-04,1.168971e+05,8.501542e+04,2.019125e+05,2.432569e+02,6
39.610000,1.00000000e-04,1.168971e+05,8.501542e+04,2.019125e+05,2.432569e+02,6
40.440000,1.99526231e-04,8.760460e+06,4.431619e+05,9.203622e+06,1.080310e+03,2
40.440000,1.99526231e-04,8.760460e+06,4.431619e+05,9.203622e+06,1.080310e+03,2
49.800000,1.00000000e-04,4.503908e+03,7.717887e+03,1.222180e+04,6.918517e+01,4
49.800000,1.00000000e-04,4.503908e+03,7.717887e+03,1.222180e+04,6.918517e+01,4
50.450000,1.00000000e-04,6.324167e+03,8.554725e+03,1.487889e+04,7.538506e+01,3
50.450000,1.00000000e-04,6.324167e+03,8.554725e+03,1.487889e+04,7.538506e+01,3
59.750000,1.00000000e-04,8.453690e+03,8.281611e+03,1.673530e+04,8.221963e+01,3
59.750000,1.00000000e-04,8.453690e+03,8.281611e+03,1.673530e+04,8.221963e+01,3
