Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
150.400000,3.98107171e-04,2.061752e+06,1.054328e+06,3.116080e+06,8.183060e+02,4
150.500000,1.00000000e-04,2.483666e+05,2.763058e+05,5.246724e+05,3.107024e+02,4
159.500000,1.00000000e-01,5.751523e+07,1.966548e+07,7.718071e+07,3.234257e+03,2
160.500000,3.16227766e-03,7.438602e+06,1.390062e+06,8.828664e+06,1.200798e+03,4
169.500000,1.00000000e-04,7.154671e+06,2.041320e+06,9.195992e+06,1.460670e+03,4
170.500000,1.00000000e-04,1.810906e+06,1.161478e+06,2.972384e+06,6.861076e+02,6
179.500000,1.00000000e-01,2.965084e+06,3.697066e+06,6.662150e+06,1.500617e+03,2
180.400000,2.51188643e-04,1.065327e+06,6.444695e+05,1.709797e+06,5.700216e+02,4
180.500000,1.00000000e-04,5.297982e+06,3.328976e+06,8.626957e+06,1.234317e+03,5
189.500000,1.58489319e-02,5.968071e+05,4.363138e+05,1.033121e+06,4.660053e+02,2
