Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
95.030000,6.30957344e-03,1.057298e+06,1.560686e+05,1.213367e+06,5.290400e+02,3
95.030000,6.30957344e-03,1.057298e+06,1.560686e+05,1.213367e+06,5.290400e+02,3
95.450000,1.00000000e-04,3.447506e+04,4.449313e+04,7.896819e+04,1.460373e+02,3
95.450000,1.00000000e-04,3.447506e+04,4.449313e+04,7.896819e+04,1.460373e+02,3
96.530000,1.00000000e-02,5.199576e+06,1.504869e+06,6.704445e+06,1.011711e+03,3
96.530000,1.00000000e-02,5.199576e+06,1.504869e+06,6.704445e+06,1.011711e+03,3
96.770000,1.00000000e-04,3.900564e+04,4.251320e+04,8.151884e+04,1.489833e+02,6
96.770000,1.00000000e-04,3.900564e+04,4.251320e+04,8.151884e+04,1.489833e+02,6
96.930000,1.00000000e-04,8.213901e+06,1.115368e+06,9.329269e+06,1.022254e+03,2
96.930000,1.00000000e-04,8.213901e+06,1.115368e+06,9.329269e+06,1.022254e+03,2
