Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2022Al.xlsx
Generated: 13-Jul-2026 07:44:38
Total temperatures: 77

Aggregate summary
Mean selected lambda: 9.81045276E-002
Mean real-part CV: 1.01741829E+011
Mean imag-part CV: 8.80589094E+010
Mean total CV: 1.89800739E+011
Mean absolute residual: 2.97400637E+004
Mean peak count: 2.8831
Max peak count: 6

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
5.100000,1.00000000E-004,2.08263936E+006,1.56907751E+006,3.65171687E+006,7.01785814E+002,2
7.500000,1.00000000E-008,7.78136883E+005,9.14853809E+005,1.69299069E+006,4.77433513E+002,5
7.600000,3.16227766E-007,8.60720011E+005,7.33550840E+005,1.59427085E+006,4.87673520E+002,4
7.700000,1.00000000E-008,9.33151863E+005,6.35239184E+005,1.56839105E+006,4.76467780E+002,5
8.000000,1.00000000E-005,6.22054840E+005,8.19320175E+005,1.44137501E+006,4.69177308E+002,4
8.500000,3.16227766E-004,9.84757121E+005,7.94660188E+005,1.77941731E+006,5.13807147E+002,3
9.500000,1.00000000E-008,7.38105230E+005,7.21059713E+005,1.45916494E+006,4.09183685E+002,5
10.200000,1.00000000E-004,4.37605663E+005,5.46291534E+005,9.83897197E+005,4.01846263E+002,3
10.400000,3.16227766E-004,1.43973636E+006,4.05392377E+005,1.84512873E+006,5.28399474E+002,2
14.500000,1.00000000E-003,2.50903917E+005,2.36763906E+005,4.87667824E+005,3.01345969E+002,2
15.300000,3.16227766E-005,9.15606486E+005,2.63243874E+005,1.17885036E+006,3.93144547E+002,2
15.300000,1.00000000E-003,2.37527731E+005,2.08719482E+005,4.46247213E+005,2.77765701E+002,2
19.500000,3.16227766E-003,1.51553942E+005,2.04440254E+005,3.55994196E+005,2.77920413E+002,2
20.400000,3.16227766E-006,2.26589949E+005,1.82917455E+005,4.09507404E+005,2.40003003E+002,4
20.400000,3.16227766E-004,4.69379656E+005,1.14164342E+005,5.83543997E+005,2.78140025E+002,3
29.500000,1.00000000E-001,2.19838270E+008,6.78305307E+007,2.87668801E+008,8.09608593E+003,3
30.500000,1.00000000E-005,9.75007355E+004,7.15177369E+004,1.69018472E+005,1.67208954E+002,3
30.500000,1.00000000E-004,8.71544108E+004,4.34831836E+004,1.30637594E+005,1.69893749E+002,2
39.500000,1.00000000E-003,4.36195868E+004,3.76047519E+004,8.12243387E+004,1.44733683E+002,2
40.400000,3.16227766E-004,3.12437771E+004,6.21213086E+004,9.33650857E+004,1.33528246E+002,2
40.400000,3.16227766E-004,6.80153119E+004,3.35137289E+004,1.01529041E+005,1.42766709E+002,2
49.500000,3.16227766E-004,6.20978977E+004,4.13997710E+004,1.03497669E+005,1.53827091E+002,2
50.400000,1.00000000E-004,1.81769538E+004,3.85375331E+004,5.67144869E+004,1.11353941E+002,3
59.500000,3.16227766E-004,2.21800529E+012,2.05557565E+012,4.27358094E+012,5.26724443E+005,1
60.400000,3.16227766E-003,2.33678033E+012,8.93653869E+011,3.23043420E+012,4.15369277E+005,2
69.500000,3.16227766E-005,2.29495659E+008,5.21314898E+007,2.81627149E+008,7.00098694E+003,2
70.500000,3.16227766E-003,1.70525024E+008,1.33700451E+007,1.83895069E+008,6.60244785E+003,1
79.500000,1.00000000E-005,3.86517147E+004,6.13861413E+004,1.00037856E+005,1.45423727E+002,4
84.500000,1.00000000E-001,2.74644935E+006,7.10110178E+005,3.45655953E+006,5.12327482E+002,2
89.500000,1.00000000E-003,5.29894155E+003,1.96623480E+004,2.49612896E+004,8.08242676E+001,2
90.500000,1.00000000E-004,5.14806454E+003,1.00503811E+004,1.51984457E+004,6.96132973E+001,2
