Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
90.500000,1.00000000e-04,6.607185e+03,1.005038e+04,1.665757e+04,7.445556e+01,5
94.500000,1.00000000e-04,7.974736e+03,8.219541e+03,1.619428e+04,6.674698e+01,5
95.400000,1.00000000e-04,1.001190e+04,8.325332e+03,1.833724e+04,6.700727e+01,5
96.500000,1.00000000e-04,1.000450e+04,8.558539e+03,1.856304e+04,6.832430e+01,5
97.400000,1.25892541e-04,5.707185e+03,8.701703e+03,1.440889e+04,6.539319e+01,4
99.500000,1.25892541e-04,5.674496e+03,7.906106e+03,1.358060e+04,6.551184e+01,5
100.400000,1.58489319e-04,5.552964e+03,9.729835e+03,1.528280e+04,6.588224e+01,4
101.500000,1.00000000e-04,6.157081e+03,7.963629e+03,1.412071e+04,6.597033e+01,5
102.400000,1.00000000e-04,4.415529e+03,8.294384e+03,1.270991e+04,6.310835e+01,4
103.300000,1.00000000e-04,7.016579e+03,7.318947e+03,1.433553e+04,6.379905e+01,5
