Temperature,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
19.510000,2.51188643e-03,1.646520e+04,4.633610e+04,6.280130e+04,1.361471e+02,3
20.380000,3.16227766e-03,1.223838e+04,4.633594e+04,5.857433e+04,1.347872e+02,3
29.520000,3.16227766e-03,1.641501e+04,4.666038e+04,6.307539e+04,1.296607e+02,3
30.400000,3.98107171e-03,1.228574e+04,4.631719e+04,5.860293e+04,1.282073e+02,3
39.520000,3.98107171e-03,1.931530e+04,4.630384e+04,6.561914e+04,1.277675e+02,3
40.430000,3.98107171e-03,1.531457e+04,4.604465e+04,6.135922e+04,1.261660e+02,2
49.570000,3.98107171e-03,1.356328e+04,4.559939e+04,5.916268e+04,1.256426e+02,2
59.550000,3.98107171e-03,2.048020e+04,4.553815e+04,6.601835e+04,1.274052e+02,3
69.530000,5.01187234e-03,2.169917e+04,4.548635e+04,6.718553e+04,1.272145e+02,3
79.580000,3.98107171e-03,2.445968e+04,4.537084e+04,6.983051e+04,1.287371e+02,2
