Bayes-DRT MATLAB 2011 workflow (Re/Im CV) ??? merged all temperatures
Dataset: S2022Sap.xlsx
Generated: 13-Jul-2026 07:38:12
Total temperatures: 69

Aggregate summary
Mean selected lambda: 3.10226173E-003
Mean real-part CV: 2.33623066E+004
Mean imag-part CV: 5.96514970E+004
Mean total CV: 8.30138036E+004
Mean absolute residual: 9.62786964E+001
Mean peak count: 2.3333
Max peak count: 7

Per-temperature detail
TemperatureK,SelectedLambda,RealCV,ImagCV,TotalCV,MeanAbsResidual,PeakCount
1.480000,3.16227766E-006,2.52799221E+004,8.04617080E+004,1.05741630E+005,1.60745866E+002,4
1.490000,1.00000000E-008,6.63928069E+005,6.40416039E+005,1.30434411E+006,3.68385452E+002,7
2.070000,1.00000000E-002,1.97496832E+005,1.63314812E+005,3.60811644E+005,2.34539524E+002,2
4.530000,3.16227766E-003,2.28941201E+005,2.04917147E+005,4.33858348E+005,2.36061177E+002,3
7.570000,3.16227766E-003,1.61219746E+004,6.16461548E+004,7.77681294E+004,1.22493910E+002,3
8.490000,3.16227766E-003,1.01646506E+004,5.58971803E+004,6.60618309E+004,1.14585054E+002,2
9.530000,3.16227766E-003,6.74505366E+003,5.57265381E+004,6.24715918E+004,1.11155790E+002,2
10.420000,1.00000000E-003,6.01356035E+003,5.14296515E+004,5.74432119E+004,1.04692419E+002,2
14.530000,3.16227766E-003,3.72165243E+003,4.77025369E+004,5.14241893E+004,1.01184000E+002,2
15.410000,3.16227766E-003,2.94673334E+003,4.83045900E+004,5.12513234E+004,9.96046450E+001,2
19.510000,1.00000000E-003,3.41193288E+003,4.61620975E+004,4.95740304E+004,9.27804503E+001,2
20.380000,3.16227766E-004,2.53754776E+003,4.59040879E+004,4.84416356E+004,8.98442799E+001,3
29.520000,1.00000000E-003,3.18559665E+003,4.66003952E+004,4.97859918E+004,8.87138333E+001,2
30.400000,3.16227766E-003,2.69129377E+003,4.63063242E+004,4.89976180E+004,9.13779424E+001,2
39.520000,3.16227766E-003,3.62850281E+003,4.62679417E+004,4.98964445E+004,9.02733652E+001,2
40.430000,3.16227766E-003,2.80118393E+003,4.60207132E+004,4.88218971E+004,8.75462949E+001,2
49.570000,3.16227766E-003,2.88292378E+003,4.55765701E+004,4.84594939E+004,8.61091669E+001,2
59.550000,3.16227766E-003,3.21425259E+003,4.55333793E+004,4.87476319E+004,8.30257825E+001,2
69.530000,3.16227766E-003,3.33490236E+003,4.54950237E+004,4.88299260E+004,8.15340630E+001,2
79.580000,3.16227766E-003,3.63668031E+003,4.54032600E+004,4.90399404E+004,8.13156503E+001,2
84.520000,3.16227766E-003,3.49395258E+003,4.50588617E+004,4.85528143E+004,7.93091508E+001,2
85.490000,3.16227766E-003,3.53931384E+003,4.55764455E+004,4.91157593E+004,7.94288374E+001,2
89.510000,3.16227766E-003,3.16679742E+003,4.52952939E+004,4.84620913E+004,8.00210305E+001,2
94.520000,3.16227766E-003,4.81477541E+003,4.54732881E+004,5.02880635E+004,8.00790540E+001,2
95.470000,3.16227766E-003,8.24240058E+003,4.57010848E+004,5.39434853E+004,8.50537095E+001,2
96.550000,3.16227766E-003,3.32686737E+003,4.55719243E+004,4.88987916E+004,8.12785906E+001,2
97.460000,3.16227766E-003,4.66433279E+003,4.54051179E+004,5.00694507E+004,8.06379615E+001,2
99.520000,3.16227766E-003,4.20032515E+003,4.51739556E+004,4.93742808E+004,7.87114043E+001,2
100.440000,3.16227766E-003,4.81279979E+003,4.57160451E+004,5.05288448E+004,8.20454289E+001,2
101.520000,3.16227766E-003,3.59816184E+003,4.55686230E+004,4.91667849E+004,7.92944642E+001,2
102.570000,3.16227766E-003,3.99694455E+003,4.54251683E+004,4.94221128E+004,7.96131756E+001,2
104.550000,3.16227766E-003,3.95990287E+003,4.53179773E+004,4.92778802E+004,7.84740282E+001,2
105.440000,3.16227766E-003,3.78005916E+003,4.54315201E+004,4.92115792E+004,7.78165995E+001,2
107.500000,3.16227766E-003,3.54080572E+003,4.53074635E+004,4.88482692E+004,7.76877828E+001,2
108.410000,3.16227766E-003,3.87823055E+003,4.55848242E+004,4.94630547E+004,7.80124784E+001,2
109.520000,3.16227766E-003,4.09078768E+003,4.53912327E+004,4.94820203E+004,7.78296038E+001,2
