Temperature,SelectedLambda,RID,CV,Variance,Score,PeakCount
85.380000,1.00000000e-03,2.603367e+06,5.870642e+06,9.065770e+05,1.427220e-01,2
89.510000,1.00000000e-02,2.565946e+06,8.623902e+06,1.217095e+05,1.959189e-01,2
90.400000,1.00000000e-02,1.903204e+06,8.411474e+06,8.481344e+04,2.442257e-01,2
94.530000,1.00000000e-02,2.250158e+06,7.368652e+06,5.817537e+05,3.289902e-01,2
95.430000,1.00000000e-03,2.422745e+06,4.461436e+06,1.988147e+06,1.635490e-01,3
96.530000,1.00000000e-02,2.853105e+06,7.034192e+06,1.945267e+05,3.025288e-01,2
97.460000,1.00000000e-03,4.978196e+06,4.678329e+06,8.617232e+05,1.905676e-01,4
99.520000,1.00000000e-03,4.450188e+05,4.114884e+06,1.089779e+06,1.770246e-01,2
100.470000,1.00000000e-03,1.497165e+06,4.897538e+06,9.077804e+05,1.265082e-01,2
101.570000,1.00000000e-02,2.607129e+06,6.747033e+06,3.952256e+05,2.837196e-01,2
